,name,genres,creator,screenwriter,cast_member,awards_received,character,rating
23,Stargirl,"{'action television series', 'television adaptation', 'superhero television program', 'science fiction television series', 'adventure television series', 'drama television series'}",{'Glen Winter'},{'Geoff Johns'},"{'Amanda Lavassani', 'Yvette Monreal', 'Cameron Gellman', 'Alex Collins', 'Brec Bassinger', 'Anjelika Washington', 'Neil Jackson', 'Amy Smart', 'Brian Stapf', 'Luke Wilson'}",{'Saturn Award for Best Performance by a Younger Actor in a Television Series'},{'Christine Mahkent'},good
24,Peacemaker,"{'superhero television program', 'action television series', 'comedy television series'}",{'James Gunn'},{'James Gunn'},"{'Christopher Heyerdahl', 'Alison Araya', 'John Cena', 'Robert Patrick', 'Freddie Stroma', 'Chuk Iwuji', 'Steve Agee', 'Annie Chang', 'Jennifer Holland', 'Lochlyn Munro', 'Lenny Jacobson', 'Danielle Brooks', 'Rizwan Manji', 'Elizabeth Ludlow', 'Nhut Le'}",{'None'},"{'Judomaster', 'Adrian Chase', 'Peacemaker'}",average
25,Vikings,{'historical drama'},"{'Ciaran Donnelly', 'Kelly Makin', 'Ken Girotti', 'Helen Shaver', 'Johan Renck', 'Kari Skogland', 'Jeff Woolnough', 'Daniel Grou'}",{'Michael Hirst'},"{'Alvaro Lucchesi', 'India Mullen', 'Amy Bailey', 'Aaron Monaghan', ""Oran Glynn O'Donovan"", 'Trevor Cooper', 'Ivan Kaye', 'Lalor Roddy'}",{'None'},"{'Odin', 'Ketill Flatnose', 'Leo IV', 'Ealhswith'}",average
26,Foundation,"{'science fiction television series', 'television series based on a novel'}",{'Rupert Sanders'},"{'Josh Friedman', 'David S. Goyer'}","{'Terrence Mann', 'Lou Llobell', 'Lee Pace', 'Leah Harvey', 'Laura Birn', 'Jared Harris'}",{'None'},"{'Brother Dusk', 'Brother Day'}",average
27,True Detective,"{'neo-noir', 'Investigative television series', 'crime television series', 'drama television series', 'mystery television series'}",{'Cary Joji Fukunaga'},{'Nic Pizzolatto'},"{'Matthew McConaughey', 'Adria Arjona'}",{'None'},{'Emily'},average
28,The Empress,"{'drama television series', 'historical television series', 'biographical film'}","{'Katrin Gebbe', 'Florian Cossen'}","{'Janna Nandzik', 'Bernd Lange', 'Katharina Eyssen'}","{'Eric Bouwer', 'Patrick Rapold', 'Svenja Jung', 'Rauand Taleb', 'Philip Froissant', 'Vladimir Korneev', 'Hanna Hilsdorf'}",{'None'},"{'Duke Maximilian Joseph, Duke in Bavaria', 'Gustav, Prince of Vasa'}",average
29,Strike,"{'detective television series', 'crime television series', 'television series based on a novel'}","{'Charles Sturridge', 'Michael Keillor'}","{'Ben Richards', 'Tom Edge'}","{'Leo Bill', 'Killian Scott', 'Alisha Bailey', 'Ben Crompton', ""Natasha O'Keeffe"", 'Holliday Grainger', 'Tom Burke'}",{'None'},"{'Robin Ellacott', 'Cormoran Strike'}",average
30,Dae Jang Geum,{'historical fiction'},{'Lee Byung-hoon'},{'Kim Young-hyun'},"{'Ji Jin-hee', 'Hong Ri-na', 'Yang Mi-kyung', 'Lee Young-ae', 'Im Ho'}",{'None'},"{'Jungjong of Joseon', 'Jang-geum'}",poor
31,Perry Mason,"{'costume drama', 'legal drama', 'television adaptation'}","{'Deniz Gamze Ergüven', 'Tim Van Patten'}","{'Ron Fitzgerald', 'Rolin Jones'}","{'Eric Lange', 'Taylor Nichols', 'Justin Kirk', 'Gayle Rankin', 'Chris Chalk', 'Matthew Rhys', 'Karl Makinen', 'Andrew Howard', 'Matt Frewer', 'Molly Ephraim', 'Michael McMillian', 'John Lithgow', 'Jefferson Mays', 'Diarra Kilpatrick', 'Thomas Crawford', ""Mark O'Brien"", 'Andrew Divoff', 'Nate Corddry', 'Juliet Rylance', 'Stephen Root', 'Shea Whigham', 'Sean Astin', 'Charles Baker', 'Aaron Stanford', 'Katherine Waterston', 'Madeline Zima', 'Paul Raci', 'Tatiana Maslany', 'Robert Patrick', 'Lili Taylor', ""Jenny O'Hara"", 'David Wilson Barnes', 'Veronica Falcón', 'Hope Davis', 'Tommy Dewey', 'Gretchen Mol'}",{'None'},"{'Hamilton Burger', 'Perry Mason', 'Della Street', 'Paul Drake'}",average
32,Belgravia,"{'historical television series', 'television series based on a novel'}",{'John Alexander'},{'Julian Fellowes'},"{'Adam James', 'Serena Evans', 'Alice Eve', 'Nicholas Rowe', 'Naomi Frederick', 'Tara Fitzgerald', 'James Fleet', 'Philip Glenister', 'Tom Wilkinson', 'Richard Goulding', 'Jack Shalloo', 'Jack Bardoe', 'Paul Ritter', 'Bronagh Gallagher', 'Harriet Walter', 'Penny Layden', 'Tamsin Greig', 'Robert Portal', 'James Chalmers', 'Saskia Reeves', 'Diana Kent', 'Emily Reid', 'Diana Hardcastle', 'Ella Purnell', 'Gunnar DeYoung', 'Jeremy Neumark Jones'}",{'None'},"{'Arthur Wellesley, 1st Duke of Wellington', 'Anna Russell, Duchess of Bedford', 'Willem II of the Netherlands', 'William Ponsonby', 'Charlotte Lennox, Duchess of Richmond', 'Charles Lennox, 4th Duke of Richmond'}",average
33,Bleak House,"{'drama television series', 'television series based on a novel'}",{'Justin Chadwick'},{'Andrew Davies'},"{'Sheila Hancock', 'Louise Brealey', 'Patrick Kennedy', 'Denis Lawson', 'Liza Tarbuck', 'Joanna David', 'Roberta Taylor', 'John Lynch'}",{'None'},"{'Rev. Mr. Chadband', 'Esther Summerson', 'Guppy'}",average
34,Ekaterina,"{'drama film', 'historical film'}","{'Dmitri Iosifov', 'Aleksandr Baranov', 'Ramil Sabitof'}",{'Arif Aliyev'},"{'Mikhail Gorevoy', 'Marcin Stec', 'Artyom Alekseev', 'Alexey Vorobyov', 'Danila Dunayev', 'Kirill Rubtsov', 'Vladimir Yumatov’}",{'None'},"{'Maria Feodorovna', 'Alexey Razumovsky', 'Aleksey Obreskov', 'Catherine II of Russia', 'Grigory Orlov’}",average
35,Knightfall,"{'action television series', 'historical drama', 'drama film', 'adventure film', 'adventure television series', 'drama television series', 'action film'}","{'Douglas Mackinnon', 'Samira Radsi', 'Roel Reine', 'Rick Jacobson', 'David Petrarca', 'David Wellington', 'Metin Huseyin'}","{'Vivian Tse', 'Ethan Reiff', 'Dominic Minghella', 'Vincent Angell', 'Cyrus Voris', 'Richard Rayner', 'Sharon Hoffman', 'Don Handfield', 'Aaron Helbing'}","{'Jim Carter’, 'Enrique Arce', 'Claire Cooper', 'Lourdes Faberes', 'Ed Stoppard’}",{'None'},"{'Margaret of Burgundy', 'Boniface VIII', 'Philip IV of France', 'Isabella of France', 'Guillaume de Nogaret', 'Jacques de Molay', 'Joan I of Navarre', 'Louis X of France', 'Clement V', 'Robert de Vere, 6th Earl of Oxford'}",average
36,The Affair,"{'drama television series', 'mystery television series'}","{'Carl Franklin', 'Mark Mylod', 'Jeffrey Reiner', 'Ryan Fleck'}","{'Eric Overmyer', 'Hagai Levi', 'Kate Robin'}","{'Colin Donnell', 'Julia Goldani Telles', 'Maura Tierney', 'Ruth Wilson', 'Dominic West', 'Joshua Jackson'}",{'None'},{'Scotty Lockhart'},average
37,Freud,"{'crime film', 'drama film', 'crime television series', 'drama television series', 'historical film', 'historical television series'}",{'Marvin Kren'},"{'Benjamin Hessler', 'Marvin Kren'}","{'Anja Kling', 'Lukas Miko', 'Adam Vacula', 'Anna Linhartová', 'Brigitte Kren', 'Martin Hujas'}",{'None'},"{'Sigmund Freud', 'Josef Breuer', 'Martha Bernays', 'Anna Freud Bernays', 'Amalia Freud', 'Jacob Freud', 'Rudolf, Crown Prince of Austria', 'Theodor Meynert', 'Arthur Schnitzler', 'Franz Joseph I of Austria', 'Eli Bernays'}",average
38,The Girlfriend Experience,"{'drama television series', 'LGBTI+ related TV series'}","{'Lodge Kerrigan', 'Amy Seimetz', 'Anja Marquardt'}","{'Lodge Kerrigan', 'Devon Graye', 'Amy Seimetz', 'Anja Marquardt'}","{'Michael Therriault', 'James Gilbert', 'Enzo Cilenti', 'Amy Seimetz', 'Kate Lyn Sheil', 'Jemima Rooper', 'Morgan Davies', 'Carmen Ejogo', 'Paul Sparks', 'Daniel Betts', 'Mary Lynn Rajskub', 'Narges Rashidi', 'Harmony Korine', 'Anna Friel', 'Ray Fearon', 'Armin Karima', 'Michael Cram', 'Sugith Varughese', 'Peter Guinness', 'Charles Edwards', 'Julia Goldani Telles', 'Oliver Masucci', 'Louisa Krause', 'Tunde Adebimpe', 'Aidan Devine', 'Alexandra Castillo', 'Riley Keough', 'Frank Dillane'}",{'None'},"{'Sarah Day', 'Ian Olsen', 'Avery Suhr', 'Bria Jones', 'Kayla Fairchild', 'Annabel Reade', 'Paul', 'Iris Stanton', 'Chelsea Rayne', 'Anna Garner', 'Erin Roberts', 'Christine Reade', 'Darya Esford', 'David Tellis', 'Erica Myles'}",average
