pseudo_mr,text
Dune genre science fiction. Dune instance of board game. Dune domain board game.," Have you ever played a board game in the science fiction genre, like Dune?"
Yomi genre card game. Yomi average rating average. Yomi minimum number of players 2. Yomi minimum playing time 30. Yomi instance of board game. Yomi maximum number of players 2. Yomi complexity rating complex. Yomi domain board game.,Yomi is a complex card game that can be played with two players in a minimum of 30 minutes. It has an average rating.
Risk genre board wargame. Risk alternate names Risk!. Risk publisher Miro Company. Risk maximum number of players 6. Risk minimum number of players 2. Risk domain board game.," Risk!, also known as Risk, is a board wargame published by Miro Company. It can be played with 2 to 6 players."
Chicago genre strategy game. Chicago complexity rating complex. Chicago publication year 1986. Chicago minimum playing time 90. Chicago publisher Playmix. Chicago domain board game.,Chicago is a complex strategy game published by Playmix in 1986. It has a minimum playing time of 90 minutes.
Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly domain board game.,You said Monopoly was boring. Is this usually how you feel about resource management board games?
Monopoly game mechanics resource management. Monopoly domain board game.," Have you ever played a board game with a resource management mechanic, like Monopoly?"
Scotland Yard genre deduction game. Scotland Yard alternate names Fanton. Scotland Yard domain board game.," Have you ever heard of Scotland Yard, a deduction game that goes by the alternate name Fanton? It's a board game."
Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies domain board game.,You said Axis and Allies was just average. Is this the same for all board wargames?
Crossings domain board game.," Have you played Crossings, the board game?"
Scotland Yard genre deduction game. Scotland Yard game mechanics cooperative gameplay. Scotland Yard domain board game.," Have you heard of Scotland Yard, a deduction board game with cooperative gameplay mechanics?"
board game specifier tedious. board game minimum number of players 3. board game domain board game.,What tedious board game can you play with at least three players?
HeroQuest genre fantasy. HeroQuest maximum number of players 5. HeroQuest publisher Games Workshop. HeroQuest average rating good. HeroQuest minimum playing time 90. HeroQuest domain board game.,HeroQuest is a fantasy board game published by Games Workshop with a good rating. It can take up to 5 players in a minimum of 90 minutes.
Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill average rating average. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill domain board game.,Betrayal at House on the Hill is a complex cooperative board game for up to 6 players with an average rating. It has a minimum playing time of 60 minutes.
Sherlock Holmes Consulting Detective publication year 1981. Sherlock Holmes Consulting Detective domain board game.," Are you talking about the board game Sherlock Holmes Consulting Detective, published in 1981?"
Enchanted Forest genre fantasy. Enchanted Forest publisher Ravensburger. Enchanted Forest domain board game.," Have you heard of Enchanted Forest, a fantasy board game from Ravensburger?"
Battle Masters average rating average. Battle Masters based on Warhammer. Battle Masters complexity rating moderate. Battle Masters domain board game.,Battle Masters is an average board game. Its moderate complexity level and theme based on Warhammer make it an enjoyable experience for gamers.
board game specifier frustrating. board game genre deduction game. board game domain board game.,What's the most frustrating deduction game board game you've ever played?
board game specifier frustrating. board game game mechanics resource management. board game domain board game.,What board game with a resource management game mechanic is the most frustrating?
Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.," Have you ever played a board game from Asmodee created by Bruce Glassco, like Betrayal at House on the Hill?"
board game specifier confusing. board game genre cooperative board game. board game domain board game.,What's the most confusing cooperative board game you know of in the board game domain?
board game specifier uninspiring. board game maximum number of players 8. board game domain board game.,What board game do you think is the most uninspiring for a game with up to 8 players?
Sherlock Holmes Consulting Detective average rating excellent. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective is an excellent board game and I give it my highest recommendation. The publisher Space Cowboys did a great job of bringing this game to life.
Thurn and Taxis genre historical board game. Thurn and Taxis maximum number of players 4. Thurn and Taxis country of origin Germany. Thurn and Taxis complexity rating complex. Thurn and Taxis instance of board game. Thurn and Taxis minimum playing time 60. Thurn and Taxis average rating good. Thurn and Taxis domain board game.,Thurn and Taxis is a complex German historical board game for up to 4 players with a minimum time of 60 minutes and a good rating.
Lord of the Rings average rating average. Lord of the Rings instance of board game. Lord of the Rings domain board game.,You said Lord of the Rings was an average game. Do you think most board games are mediocre?
Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publication year 2015. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder domain board game.," Mystery Motive for Murder is a mystery fiction board game for up to 5 players, published in 2015."
Monopoly genre roll-and-move. Monopoly country of origin United States of America. Monopoly publisher Hasbro. Monopoly game mechanics resource management. Monopoly minimum number of players 2. Monopoly domain board game.," Monopoly is a roll-and-move board game from the United States of America, published by Hasbro and featuring resource management mechanics. It requires at least 2 players."
Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publication year 2006. Thurn and Taxis domain board game.," Are you talking about the Andreas Seyfarth board game, Thurn and Taxis, published in 2006?"
Monopoly game mechanics resource management. Monopoly genre roll-and-move. Monopoly domain board game.," Have you heard of Monopoly, the roll-and-move board game with resource management game mechanics?"
Yomi alternate names Yomi: Fighting Card Game. Yomi instance of board game. Yomi domain board game.," Have you heard of Yomi, or its alternate name Yomi: Fighting Card Game? It is a board game."
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 complexity rating simple. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland with a minimum of 2 players. It was published in 1918.
Star Realms publisher White Wizard Games. Star Realms domain board game.," Have you played Star Realms, the board game from White Wizard Games?"
Spirit Island genre cooperative board game. Spirit Island complexity rating advanced. Spirit Island maximum number of players 4. Spirit Island domain board game.,Spirit Island is an advanced cooperative board game for up to 4 players.
Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.," Have you ever played a board game published by Fantasy Flight Games, like Descent Journeys in the Dark?"
Barbarossa maximum number of players 6. Barbarossa domain board game.," Have you ever played a board game for up to 6 players, like Barbarossa?"
Barbarossa average rating average. Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa domain board game.,You said Barbarossa was just okay. Do you usually find Franckh-Kosmos board games to be mediocre?
Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies domain board game.,Axis and Allies is an average board game but I think it's worth playing because of its board wargame genre.
Betrayal at House on the Hill average rating average. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,You said Betrayal at House on the Hill was just okay. Do you think all board games by Bruce Glassco and Asmodee are mediocre?
Battle Masters instance of board game. Battle Masters domain board game.," Have you ever played a board game, like Battle Masters?"
Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill domain board game.,Are you talking about the Hasbro board game Betrayal at House on the Hill?
Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark complexity rating advanced. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark publication year 2005. Descent Journeys in the Dark domain board game.,Descent Journeys in the Dark is an advanced fantasy board game published by Fantasy Flight Games in 2005 for a minimum of 2 players.
board game specifier stimulating. board game genre roll-and-move. board game domain board game.,Are there any stimulating roll-and-move games in the board game domain?
Afrikan tähti genre roll-and-move. Afrikan tähti instance of board game. Afrikan tähti domain board game.," Have you heard of Afrikan tähti, a roll-and-move board game?"
A Game of Thrones maximum number of players 5. A Game of Thrones instance of board game. A Game of Thrones domain board game.," Have you ever played a board game for five players, like A Game of Thrones?"
Dune average rating excellent. Dune genre science fiction. Dune maximum number of players 6. Dune domain board game.," I think Dune is an excellent board game. The science fiction genre makes it interesting, and the maximum number of players of 6 makes it great for a group."
Yomi genre card game. Yomi complexity rating complex. Yomi minimum number of players 2. Yomi instance of board game. Yomi alternate names Yomi: Fighting Card Game. Yomi domain board game.," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for at least two players."
Yomi genre card game. Yomi complexity rating complex. Yomi maximum number of players 2. Yomi instance of board game. Yomi alternate names Yomi: Fighting Card Game. Yomi domain board game.," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for up to 2 players."
Enchanted Forest average rating average. Enchanted Forest maximum number of players 6. Enchanted Forest minimum playing time 30. Enchanted Forest domain board game.," Enchanted Forest is an average board game, but I appreciate the maximum of 6 players and the minimum playing time of 30 minutes."
Monopoly average rating poor. Monopoly instance of board game. Monopoly minimum number of players 2. Monopoly domain board game.," Monopoly is a classic board game, but it's not very enjoyable. The poor rating and minimum number of players of 2 make it a bit too limited for me."
board game specifier tedious. board game genre fantasy. board game domain board game.,What tedious fantasy board game have you played?
Mangala based on mancala. Mangala instance of board game. Mangala domain board game.," Have you heard of Mangala, the board game based on mancala?"
Monopoly game mechanics resource management. Monopoly based on The Landlords Game. Monopoly domain board game.," Have you heard of Monopoly, the board game with resource management game mechanics based on The Landlords Game?"
board game specifier uninspiring. board game genre German-style board game. board game domain board game.,Have you ever played an uninspiring German-style board game?
Carcassonne genre German-style board game. Carcassonne instance of board game. Carcassonne domain board game.," Have you ever played Carcassonne, a German-style board game?"
Stratego genre board wargame. Stratego average rating average. Stratego minimum playing time 45. Stratego minimum number of players 2. Stratego complexity rating moderate. Stratego instance of board game. Stratego maximum number of players 2. Stratego domain board game.,Stratego is a moderate board wargame with an average rating. It can be played by 2 players in a minimum of 45 minutes.
board game specifier stimulating. board game genre German-style board game. board game domain board game.,Have you ever played a stimulating German-style board game?
board game specifier tedious. board game genre strategy game. board game domain board game.,What's the most tedious strategy game you know of in the board game domain?
Risk developer Albert Lamorisse. Risk domain board game.," Have you played Risk, the board game developed by Albert Lamorisse?"
Barbarossa genre fantasy. Barbarossa publication year 1988. Barbarossa minimum number of players 3. Barbarossa complexity rating moderate. Barbarossa publisher Franckh-Kosmos. Barbarossa domain board game.,Barbarossa is a 1988 fantasy board game published by Franckh-Kosmos. It requires a minimum of 3 players and has a moderate complexity rating.
Stratego genre board wargame. Stratego domain board game.," Have you played Stratego, the board wargame?"
A Game of Thrones genre fantasy. A Game of Thrones domain board game.," Have you played A Game of Thrones, a fantasy board game?"
HeroQuest average rating good. HeroQuest genre fantasy. HeroQuest domain board game.,HeroQuest is a good board game with a great fantasy genre. It's definitely worth playing.
Chicago average rating poor. Chicago minimum playing time 90. Chicago instance of board game. Chicago domain board game.,Chicago is a board game with a poor rating. The minimum playing time of 90 minutes makes it too long for my taste.
Star Realms genre science fiction. Star Realms minimum playing time 20. Star Realms maximum number of players 6. Star Realms publisher White Wizard Games. Star Realms average rating excellent. Star Realms complexity rating moderate. Star Realms minimum number of players 2. Star Realms domain board game.," Star Realms, published by White Wizard Games, is a moderate science fiction board game with an excellent rating. It can be played with 2 to 6 players in a minimum of 20 minutes."
"Afrikan tähti alternate names African Star, Diamond Hunt. Afrikan tähti publication year 1951. Afrikan tähti domain board game."," Are you referring to Afrikan tähti (or African Star/Diamond Hunt), the board game published in 1951?"
Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.," Have you ever played a board game by Bruce Glassco published by Mayfair Games, such as Mystery Motive for Murder?"
Risk genre board wargame. Risk developer Albert Lamorisse. Risk domain board game.," Have you heard of Risk, a board wargame developed by Albert Lamorisse?"
Monopoly genre roll-and-move. Monopoly minimum playing time 60. Monopoly domain board game.,Monopoly is a roll-and-move board game with a minimum playing time of 60 minutes.
Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies developer Larry Harris. Axis and Allies domain board game.," You said Axis and Allies was average. Is this your opinion of all board wargames by Larry Harris, too?"
board game specifier confusing. board game game mechanics deductive reasoning. board game domain board game.,What's the most confusing board game with deductive reasoning game mechanics you know of?
Afrikan tähti average rating poor. Afrikan tähti maximum number of players 6. Afrikan tähti minimum number of players 2. Afrikan tähti domain board game.," Afrikan tähti is a poor board game in my opinion. With a maximum number of players of 6 and a minimum of 2, it is not very engaging."
Risk genre board wargame. Risk instance of board game. Risk domain board game.,Risk is a board wargame.
Thurn and Taxis publisher Hans im Glück. Thurn and Taxis domain board game.,"
Have you ever played a board game published by Hans im Glück, like Thurn and Taxis?"
Betrayal at House on the Hill average rating average. Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill domain board game.,You found Betrayal at House on the Hill to be average. Do you usually think horror fiction board games are just okay?
Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective average rating excellent. Sherlock Holmes Consulting Detective maximum number of players 8. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective is an excellent deduction board game published by Space Cowboys. It can accommodate up to 8 players.
Spirit Island average rating excellent. Spirit Island publication year 2017. Spirit Island domain board game.," Spirit Island is an excellent board game in my opinion. With a publication year of 2017, it's a modern game with lots of exciting features."
Barbarossa average rating average. Barbarossa complexity rating moderate. Barbarossa publisher Franckh-Kosmos. Barbarossa domain board game.,Barbarossa is an average board game in my opinion. The moderate complexity rating and the publisher Franckh-Kosmos make it an enjoyable game.
board game specifier educational. board game game mechanics resource management. board game domain board game.,What educational board game with a resource management game mechanic do you recommend?
Chicago average rating poor. Chicago publication year 1986. Chicago genre strategy game. Chicago domain board game.," Chicago is a board game with a poor rating and an old publication year of 1986. I think the strategy game genre has evolved since then, so it doesn't quite hold up."
Monopoly genre roll-and-move. Monopoly alternate names Deluxe Monopoly. Monopoly domain board game.," Monopoly, also known as Deluxe Monopoly, is a roll-and-move board game."
Twilight Struggle genre board wargame. Twilight Struggle average rating excellent. Twilight Struggle minimum number of players 2. Twilight Struggle publisher GMT Games. Twilight Struggle complexity rating advanced. Twilight Struggle domain board game.,Twilight Struggle is an advanced board wargame published by GMT Games with an excellent rating. It requires at least 2 players.
Chicago domain board game.,Have you heard of the board game Chicago?
Dune domain board game.," Have you ever played a board game, like Dune?"
Scotland Yard average rating average. Scotland Yard maximum number of players 6. Scotland Yard publication year 1983. Scotland Yard domain board game.," Scotland Yard is an average board game, but its maximum number of players of 6 and its publication year of 1983 give it a classic feel."
Thurn and Taxis average rating good. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis developer Karen Seyfarth. Thurn and Taxis domain board game.,You like Thurn and Taxis. Do you usually have a good opinion of Hans im Glück and Karen Seyfarth's board games?
Risk publisher Miro Company. Risk instance of board game. Risk domain board game.," Have you ever played Risk, the Miro Company board game?"
Cosmic Encounter genre science fiction. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter domain board game.," Are you talking about Fantasy Flight Games' science fiction board game, Cosmic Encounter?"
Barbarossa average rating average. Barbarossa instance of board game. Barbarossa publisher Franckh-Kosmos. Barbarossa domain board game.," Barbarossa is an average board game in my opinion. Published by Franckh-Kosmos, it's a great choice for board game fans."
Lord of the Rings average rating average. Lord of the Rings complexity rating simple. Lord of the Rings domain board game.," Lord of the Rings is an average board game, but its simple complexity rating makes it great for beginners."
Cosmic Encounter maximum number of players 8. Cosmic Encounter instance of board game. Cosmic Encounter domain board game.," Have you ever played a board game with a maximum of eight players, such as Cosmic Encounter?"
Star Realms developer Darwin Kastle. Star Realms domain board game.," Have you heard of Star Realms, a board game developed by Darwin Kastle?"
Monopoly average rating poor. Monopoly instance of board game. Monopoly game mechanics resource management. Monopoly domain board game.," Monopoly is a classic board game, but it's not very enjoyable. The resource management game mechanics and the poor rating confirm that."
"Afrikan tähti genre roll-and-move. Afrikan tähti alternate names African Star, Diamond Hunt. Afrikan tähti average rating poor. Afrikan tähti maximum number of players 6. Afrikan tähti domain board game."," African Star, also known as Afrikan tähti or Diamond Hunt, is a roll-and-move board game with a poor rating for up to 6 players."
Chicago genre strategy game. Chicago instance of board game. Chicago publisher Playmix. Chicago publication year 1986. Chicago minimum number of players 2. Chicago complexity rating complex. Chicago maximum playing time 120. Chicago domain board game.,Chicago is a complex strategy board game published by Playmix in 1986. It requires at least 2 players and a maximum playing time of 120 minutes.
board game specifier entertaning. board game genre strategy game. board game domain board game.,What's the most entertaining strategy game in the board game domain?
Risk average rating average. Risk domain board game.," Risk is an average board game, but it's still a classic. It's a great game for those who like strategy and risk taking."
Star Realms instance of board game. Star Realms developer Darwin Kastle. Star Realms domain board game.," Have you ever played a board game from Darwin Kastle, like Star Realms?"
Yomi genre card game. Yomi instance of board game. Yomi maximum number of players 2. Yomi average rating average. Yomi complexity rating complex. Yomi domain board game.,Yomi is a complex card game board game for two players with an average rating.
Battle Masters domain board game.," Have you ever played a board game, like Battle Masters?"
Risk alternate names Risk!. Risk instance of board game. Risk domain board game.," Have you heard of Risk, or its alternate name Risk!? It's a board game."
Dune average rating excellent. Dune genre science fiction. Dune domain board game.,Dune is an excellent board game with a science fiction genre. It's a great way to explore the world of Dune and I highly recommend it.
Cosmic Encounter genre science fiction. Cosmic Encounter complexity rating complex. Cosmic Encounter minimum playing time 90. Cosmic Encounter publication year 1977. Cosmic Encounter maximum number of players 8. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter average rating average. Cosmic Encounter domain board game.,Cosmic Encounter is a complex science fiction board game published by Fantasy Flight Games in 1977. It typically takes 8 players and has an average rating with a minimum playing time of 90 minutes.
Stratego genre board wargame. Stratego publisher Jumbo Games. Stratego instance of board game. Stratego minimum playing time 45. Stratego maximum number of players 2. Stratego domain board game.,Stratego is a board wargame published by Jumbo Games for two players with a minimum playing time of 45 minutes.
Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.," Have you heard of Mystery Motive for Murder, a mystery fiction board game from Mayfair Games?"
Lord of the Rings based on The Lord of the Rings. Lord of the Rings domain board game.," Do you know about Lord of the Rings, it's a board game based on The Lord of the Rings?"
Lord of the Rings publication year 2000. Lord of the Rings developer Reiner Knizia. Lord of the Rings domain board game.,Are you talking about the 2000 Lord of the Rings board game from developer Reiner Knizia?
Crossings genre abstract strategy game. Crossings instance of board game. Crossings domain board game.," Have you heard of Crossings, an abstract strategy board game?"
Barbarossa average rating average. Barbarossa developer Klaus Teuber. Barbarossa publisher Franckh-Kosmos. Barbarossa domain board game.,You said Barbarossa was just okay. Do you think most board games from Klaus Teuber and Franckh-Kosmos are mediocre?
board game specifier strategic. board game minimum number of players 3. board game domain board game.,What strategic board game can you play with a minimum of three players?
Star Realms genre science fiction. Star Realms minimum number of players 2. Star Realms publisher White Wizard Games. Star Realms maximum number of players 6. Star Realms minimum playing time 20. Star Realms complexity rating moderate. Star Realms domain board game.,Star Realms is a moderate science fiction board game published by White Wizard Games. It can be played with 2 to 6 players in a minimum of 20 minutes.
Barbarossa developer Klaus Teuber. Barbarossa instance of board game. Barbarossa domain board game.," Have you heard of Barbarossa, the board game developed by Klaus Teuber?"
Thurn and Taxis developer Karen Seyfarth. Thurn and Taxis genre historical board game. Thurn and Taxis domain board game.,"
Are you referring to the historical board game Thurn and Taxis from developer Karen Seyfarth?"
Crossings genre abstract strategy game. Crossings instance of board game. Crossings minimum number of players 2. Crossings minimum playing time 20. Crossings average rating average. Crossings maximum number of players 2. Crossings complexity rating complex. Crossings domain board game.,Crossings is a complex abstract strategy board game for 2 players that takes a minimum of 20 minutes. It has an average rating.
Monopoly genre roll-and-move. Monopoly maximum number of players 8. Monopoly minimum playing time 60. Monopoly average rating poor. Monopoly alternate names Deluxe Monopoly. Monopoly game mechanics resource management. Monopoly domain board game.," Monopoly, also known as Deluxe Monopoly, is a roll-and-move board game with resource management mechanics. It can be played by up to 8 players in at least 60 minutes. It has a poor rating."
Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa domain board game.,Barbarossa is a fantasy board game.
board game specifier stimulating. board game genre mystery fiction. board game domain board game.,Is there a stimulating mystery fiction board game?
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 complexity rating simple. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame published in 1918 with a maximum of 2 players and a poor rating.
Scotland Yard average rating average. Scotland Yard game mechanics cooperative gameplay. Scotland Yard instance of board game. Scotland Yard domain board game.,You found Scotland Yard to be mediocre. Do you usually think cooperative board games are just okay?
Mystery Motive for Murder average rating average. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder domain board game.," Mystery Motive for Murder is an average board game, but the minimum number of players of 1 makes it great for solo gaming."
Twilight Struggle average rating excellent. Twilight Struggle genre board wargame. Twilight Struggle domain board game.,You really enjoyed Twilight Struggle. Do you usually like board wargames?
Betrayal at House on the Hill average rating average. Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,You said Betrayal at House on the Hill was just okay. Do you think most horror fiction board games from Asmodee are mediocre?
Twilight Struggle genre board wargame. Twilight Struggle complexity rating advanced. Twilight Struggle instance of board game. Twilight Struggle maximum number of players 2. Twilight Struggle minimum playing time 120. Twilight Struggle domain board game.,Twilight Struggle is an advanced board wargame for 2 players with a minimum playing time of 120 minutes.
Scotland Yard average rating average. Scotland Yard genre deduction game. Scotland Yard publisher Ravensburger. Scotland Yard domain board game.,You found Scotland Yard to be just okay. Do you think all Ravensburger deduction games are mediocre?
Yomi genre card game. Yomi alternate names Yomi: Fighting Card Game. Yomi complexity rating complex. Yomi maximum number of players 2. Yomi domain board game.," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for two players."
