mr,text
"confirm(name[Dragostea Din Tei], performer[O-Zone])",You found Mystery Motive for Murder to be just okay. Do you think all board games by Mayfair Games are mediocre?
"confirm(name[Paint It Black], performer[The Rolling Stones])"," Enchanted Forest is an average board game, but I like that it's published by Ravensburger and the minimum number of players is only 2."
"confirm(name[Every Breath You Take], record_label[A&M Records])"," Have you ever played a board game from Finland, such as Punaisten ja valkoisten taistelu Suomessa 1918?"
"confirm(name[In My Bed], producer[Salaam Remi])",Are you talking about the board game Cosmic Encounter?
"confirm(name[I Was Gonna Cancel], instance_of[musical work/composition])",You didn't like Chicago. Do you think most board games from Playmix are boring?
"confirm(name[Matador], instance_of[musical work/composition])"," Mangala is a simple abstract strategy board game for up to two players, based on mancala, with an average rating."
"confirm(name[Black Barbies], record_label[Interscope Records])"," Have you ever played a board game in the science fiction genre, like Dune?"
"confirm(name[Feel Again], from_album[Native])",Yomi is a complex card game that can be played with two players in a minimum of 30 minutes. It has an average rating.
"confirm(name[Afterlife], instance_of[single])"," Risk!, also known as Risk, is a board wargame published by Miro Company. It can be played with 2 to 6 players."
"confirm(name[Black Barbies], performer[Nicki Minaj])",Chicago is a complex strategy game published by Playmix in 1986. It has a minimum playing time of 90 minutes.
"confirm(name[So Good], performer[B.o.B])",You said Monopoly was boring. Is this usually how you feel about resource management board games?
"confirm(name[Viva la Vida], from_album[Viva la Vida or Death and All His Friends])"," Have you ever played a board game with a resource management mechanic, like Monopoly?"
"confirm(name[Que Calor], producer[Diplo])"," Have you ever heard of Scotland Yard, a deduction game that goes by the alternate name Fanton? It's a board game."
"confirm(name[For a Friend], from_album[Red])",You said Axis and Allies was just average. Is this the same for all board wargames?
"confirm(name[Seven Nation Army], genres[garage rock])"," Have you played Crossings, the board game?"
"confirm(name[For a Friend], publication_year[1988])"," Have you heard of Scotland Yard, a deduction board game with cooperative gameplay mechanics?"
"confirm(name[Stairway to Heaven], is_from_album[True])",What tedious board game can you play with at least three players?
"confirm(name[Waka Waka], record_label[Epic Records])",HeroQuest is a fantasy board game published by Games Workshop with a good rating. It can take up to 5 players in a minimum of 90 minutes.
"confirm(name[Old Town Road], from_album[7])",Betrayal at House on the Hill is a complex cooperative board game for up to 6 players with an average rating. It has a minimum playing time of 60 minutes.
"confirm(name[Mr. Brightside], producer[The Killers])"," Are you talking about the board game Sherlock Holmes Consulting Detective, published in 1981?"
"confirm(name[Careless Whisper], from_album[Make It Big])"," Have you heard of Enchanted Forest, a fantasy board game from Ravensburger?"
"confirm(name[Anti-Hero], genres[synth-pop])",Battle Masters is an average board game. Its moderate complexity level and theme based on Warhammer make it an enjoyable experience for gamers.
"confirm(name[Poison], producer[RedOne])",What's the most frustrating deduction game board game you've ever played?
"confirm(name[All or Nothing], performer[Milli Vanilli])",What board game with a resource management game mechanic is the most frustrating?
"confirm(name[Old Town Road], instance_of[single])"," Have you ever played a board game from Asmodee created by Bruce Glassco, like Betrayal at House on the Hill?"
"confirm(name[So Good], producer[Ryan Tedder])",What's the most confusing cooperative board game you know of in the board game domain?
"confirm(name[Blinding Lights], instance_of[single])",What board game do you think is the most uninspiring for a game with up to 8 players?
"confirm(name[Littlest Things], producer[Mark Ronson])",Sherlock Holmes Consulting Detective is an excellent board game and I give it my highest recommendation. The publisher Space Cowboys did a great job of bringing this game to life.
"confirm(name[Style], genres[pop rock])",Thurn and Taxis is a complex German historical board game for up to 4 players with a minimum time of 60 minutes and a good rating.
"confirm(name[Dragostea Din Tei], instance_of[musical work/composition])",You said Lord of the Rings was an average game. Do you think most board games are mediocre?
"confirm(name[Evolution], record_label[Virgin Records])"," Mystery Motive for Murder is a mystery fiction board game for up to 5 players, published in 2015."
"confirm(name[Seven Nation Army], instance_of[single])"," Monopoly is a roll-and-move board game from the United States of America, published by Hasbro and featuring resource management mechanics. It requires at least 2 players."
"confirm(name[Stargazing], record_label[Sony Music])"," Are you talking about the Andreas Seyfarth board game, Thurn and Taxis, published in 2006?"
"confirm(name[Evolution], instance_of[single])"," Have you heard of Monopoly, the roll-and-move board game with resource management game mechanics?"
"confirm(name[Pumped Up Kicks], genres[pop rock])"," Have you heard of Yomi, or its alternate name Yomi: Fighting Card Game? It is a board game."
"confirm(name[Stereotypes], record_label[Food Records])",Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland with a minimum of 2 players. It was published in 1918.
"confirm(name[All or Nothing], is_from_album[True])"," Have you played Star Realms, the board game from White Wizard Games?"
"confirm(name[We Are the World], performer[USA for Africa])",Spirit Island is an advanced cooperative board game for up to 4 players.
"confirm(name[Y.M.C.A.], producer[Jacques Morali])"," Have you ever played a board game published by Fantasy Flight Games, like Descent Journeys in the Dark?"
"confirm(name[Careless Whisper], instance_of[musical work/composition])"," Have you ever played a board game for up to 6 players, like Barbarossa?"
"confirm(name[Cold Heart], producer[Pnau])",You said Barbarossa was just okay. Do you usually find Franckh-Kosmos board games to be mediocre?
"confirm(name[Pumped Up Kicks], is_from_album[True])",Axis and Allies is an average board game but I think it's worth playing because of its board wargame genre.
"confirm(name[Viva la Vida], instance_of[single])",You said Betrayal at House on the Hill was just okay. Do you think all board games by Bruce Glassco and Asmodee are mediocre?
"confirm(name[Stargazing], from_album[Stargazing])"," Have you ever played a board game, like Battle Masters?"
"confirm(name[Sweet Home Alabama], is_from_album[True])",Are you talking about the Hasbro board game Betrayal at House on the Hill?
"confirm(name[The Way I Are], genres[pop music])",Descent Journeys in the Dark is an advanced fantasy board game published by Fantasy Flight Games in 2005 for a minimum of 2 players.
"confirm(name[As It Was], performer[Harry Styles])",Are there any stimulating roll-and-move games in the board game domain?
"confirm(name[Wanna Get to Know You], instance_of[audio track])"," Have you heard of Afrikan tähti, a roll-and-move board game?"
"confirm(name[Mad Love], record_label[Polydor Records])"," Have you ever played a board game for five players, like A Game of Thrones?"
"confirm(name[Get Up!], record_label[Roadrunner Records])"," I think Dune is an excellent board game. The science fiction genre makes it interesting, and the maximum number of players of 6 makes it great for a group."
"confirm(name[In My Bed], from_album[Frank])"," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for at least two players."
"confirm(name[King of Sorrow], publication_year[2001])"," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for up to 2 players."
"confirm(name[Littlest Things], instance_of[single])"," Enchanted Forest is an average board game, but I appreciate the maximum of 6 players and the minimum playing time of 30 minutes."
"confirm(name[Blurred Lines], performer[Pharrell Williams, T.I.])"," Monopoly is a classic board game, but it's not very enjoyable. The poor rating and minimum number of players of 2 make it a bit too limited for me."
"confirm(name[Every Breath You Take], from_album[Synchronicity])",What tedious fantasy board game have you played?
"confirm(name[Poison], genres[dance-pop])"," Have you heard of Mangala, the board game based on mancala?"
"confirm(name[Money for Nothing], is_from_album[True])"," Have you heard of Monopoly, the board game with resource management game mechanics based on The Landlords Game?"
"confirm(name[Marilyn Monroe], from_album[Girl])",Have you ever played an uninspiring German-style board game?
"confirm(name[Space Oddity], instance_of[single])"," Have you ever played Carcassonne, a German-style board game?"
"confirm(name[Stairway to Heaven], producer[Jimmy Page])",Stratego is a moderate board wargame with an average rating. It can be played by 2 players in a minimum of 45 minutes.
"confirm(name[Evolution], producer[Atticus Ross])",Have you ever played a stimulating German-style board game?
"confirm(name[Somebody That I Used to Know], genres[indie pop])",What's the most tedious strategy game you know of in the board game domain?
"confirm(name[Blurred Lines], is_from_album[True])"," Have you played Risk, the board game developed by Albert Lamorisse?"
"confirm(name[Black Barbies], is_from_album[False])",Barbarossa is a 1988 fantasy board game published by Franckh-Kosmos. It requires a minimum of 3 players and has a moderate complexity rating.
"confirm(name[Anti-Hero], from_album[Midnights])"," Have you played Stratego, the board wargame?"
"confirm(name[Money for Nothing], performer[Dire Straits])"," Have you played A Game of Thrones, a fantasy board game?"
"confirm(name[Habibi], performer[Faydee, Shaggy])",HeroQuest is a good board game with a great fantasy genre. It's definitely worth playing.
"confirm(name[Money for Nothing], producer[Mark Knopfler])",Chicago is a board game with a poor rating. The minimum playing time of 90 minutes makes it too long for my taste.
"confirm(name[Wild], producer[Alex Hope])"," Star Realms, published by White Wizard Games, is a moderate science fiction board game with an excellent rating. It can be played with 2 to 6 players in a minimum of 20 minutes."
"confirm(name[Y.M.C.A.], record_label[Casablanca Records])"," Are you referring to Afrikan tähti (or African Star/Diamond Hunt), the board game published in 1951?"
"confirm(name[Right Here, Right Now], genres[electro])"," Have you ever played a board game by Bruce Glassco published by Mayfair Games, such as Mystery Motive for Murder?"
"confirm(name[Que Calor], is_from_album[True])"," Have you heard of Risk, a board wargame developed by Albert Lamorisse?"
"confirm(name[Afterlife], is_from_album[True])",Monopoly is a roll-and-move board game with a minimum playing time of 60 minutes.
"confirm(name[In My Bed], is_from_album[True])"," You said Axis and Allies was average. Is this your opinion of all board wargames by Larry Harris, too?"
"confirm(name[Over It], instance_of[single])",What's the most confusing board game with deductive reasoning game mechanics you know of?
"confirm(name[We Are the World], instance_of[single])"," Afrikan tähti is a poor board game in my opinion. With a maximum number of players of 6 and a minimum of 2, it is not very engaging."
"confirm(name[Littlest Things], performer[Lily Allen])",Risk is a board wargame.
"confirm(name[Anti-Hero], record_label[Republic Records])","
Have you ever played a board game published by Hans im Glück, like Thurn and Taxis?"
"confirm(name[Seven Nation Army], publication_year[2003])",You found Betrayal at House on the Hill to be average. Do you usually think horror fiction board games are just okay?
"confirm(name[King of Sorrow], producer[Sade Adu])",Sherlock Holmes Consulting Detective is an excellent deduction board game published by Space Cowboys. It can accommodate up to 8 players.
"confirm(name[Anti-Hero], instance_of[musical work/composition])"," Spirit Island is an excellent board game in my opinion. With a publication year of 2017, it's a modern game with lots of exciting features."
"confirm(name[Viva la Vida], is_from_album[True], publication_year[2008])",Barbarossa is an average board game in my opinion. The moderate complexity rating and the publisher Franckh-Kosmos make it an enjoyable game.
"confirm(name[Stargazing], is_from_album[True], record_label[Ultra Music])",What educational board game with a resource management game mechanic do you recommend?
"confirm(name[Apple Shampoo], record_label[MCA Records], performer[Blink-182])"," Chicago is a board game with a poor rating and an old publication year of 1986. I think the strategy game genre has evolved since then, so it doesn't quite hold up."
"confirm(name[In My Bed], genres[soul music], from_album[Frank])"," Monopoly, also known as Deluxe Monopoly, is a roll-and-move board game."
"confirm(name[Style], from_album[1989], record_label[Big Machine Records])",Twilight Struggle is an advanced board wargame published by GMT Games with an excellent rating. It requires at least 2 players.
"confirm(name[Hold My Hand], is_from_album[False], instance_of[single])",Have you heard of the board game Chicago?
"confirm(name[Anti-Hero], genres[synth-pop], record_label[Republic Records])"," Have you ever played a board game, like Dune?"
"confirm(name[Apple Shampoo], from_album[Dude Ranch], producer[Mark Trombino])"," Scotland Yard is an average board game, but its maximum number of players of 6 and its publication year of 1983 give it a classic feel."
"confirm(name[In My Bed], performer[Amy Winehouse], from_album[Frank])",You like Thurn and Taxis. Do you usually have a good opinion of Hans im Glück and Karen Seyfarth's board games?
"confirm(name[Take My Breath Away], record_label[Geffen Records], performer[Berlin])"," Have you ever played Risk, the Miro Company board game?"
"confirm(name[Kings of the Wild Frontier], publication_year[1980], from_album[Kings of the Wild Frontier])"," Are you talking about Fantasy Flight Games' science fiction board game, Cosmic Encounter?"
"confirm(name[Waka Waka], genres[pop rock], instance_of[single])"," Barbarossa is an average board game in my opinion. Published by Franckh-Kosmos, it's a great choice for board game fans."
"confirm(name[I Was Gonna Cancel], publication_year[2014], is_from_album[True])"," Lord of the Rings is an average board game, but its simple complexity rating makes it great for beginners."
"confirm(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])"," Have you ever played a board game with a maximum of eight players, such as Cosmic Encounter?"
"confirm(name[Somebody That I Used to Know], genres[indie pop], publication_year[2011])"," Have you heard of Star Realms, a board game developed by Darwin Kastle?"
"confirm(name[Macarena], performer[Los del R铆o], from_album[A m铆 me gusta])"," Monopoly is a classic board game, but it's not very enjoyable. The resource management game mechanics and the poor rating confirm that."
"confirm(name[Kings of the Wild Frontier], publication_year[1980], producer[Chris Hughes])"," African Star, also known as Afrikan tähti or Diamond Hunt, is a roll-and-move board game with a poor rating for up to 6 players."
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone], is_from_album[True])",Chicago is a complex strategy board game published by Playmix in 1986. It requires at least 2 players and a maximum playing time of 120 minutes.
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone], genres[Eurodance])",What's the most entertaining strategy game in the board game domain?
"confirm(name[Wild], publication_year[2015], producer[Alex Hope])"," Risk is an average board game, but it's still a classic. It's a great game for those who like strategy and risk taking."
"confirm(name[I Was Gonna Cancel], publication_year[2014], producer[Pharrell Williams])"," Have you ever played a board game from Darwin Kastle, like Star Realms?"
"confirm(name[Style], performer[Taylor Swift], record_label[Big Machine Records])",Yomi is a complex card game board game for two players with an average rating.
"confirm(name[Old Town Road], publication_year[2018], genres[country rap])"," Have you ever played a board game, like Battle Masters?"
"confirm(name[Stereotypes], publication_year[1996], from_album[The Great Escape])"," Have you heard of Risk, or its alternate name Risk!? It's a board game."
"confirm(name[Y.M.C.A.], record_label[Casablanca Records], performer[Village People])",Dune is an excellent board game with a science fiction genre. It's a great way to explore the world of Dune and I highly recommend it.
"confirm(name[Stargazing], producer[Kygo], record_label[Sony Music])",Cosmic Encounter is a complex science fiction board game published by Fantasy Flight Games in 1977. It typically takes 8 players and has an average rating with a minimum playing time of 90 minutes.
"confirm(name[I Was Gonna Cancel], is_from_album[True], from_album[Kiss Me Once])",Stratego is a board wargame published by Jumbo Games for two players with a minimum playing time of 45 minutes.
"confirm(name[Take My Breath Away], is_from_album[True], publication_year[1986])"," Have you heard of Mystery Motive for Murder, a mystery fiction board game from Mayfair Games?"
"confirm(name[Matador], record_label[Sony Music], publication_year[1994])"," Do you know about Lord of the Rings, it's a board game based on The Lord of the Rings?"
"confirm(name[Somebody That I Used to Know], instance_of[single], genres[indie pop])",Are you talking about the 2000 Lord of the Rings board game from developer Reiner Knizia?
"confirm(name[King of Sorrow], from_album[Lovers Rock], record_label[Epic Records])"," Have you heard of Crossings, an abstract strategy board game?"
"confirm(name[Money for Nothing], publication_year[1985], from_album[Brothers in Arms])",You said Barbarossa was just okay. Do you think most board games from Klaus Teuber and Franckh-Kosmos are mediocre?
"confirm(name[Afterlife], instance_of[single], producer[James Murphy])",What strategic board game can you play with a minimum of three players?
"confirm(name[I Still...], is_from_album[True], record_label[Jive Records])",Star Realms is a moderate science fiction board game published by White Wizard Games. It can be played with 2 to 6 players in a minimum of 20 minutes.
"confirm(name[Style], instance_of[single], from_album[1989])"," Have you heard of Barbarossa, the board game developed by Klaus Teuber?"
"confirm(name[In My Bed], is_from_album[True], instance_of[single])","
Are you referring to the historical board game Thurn and Taxis from developer Karen Seyfarth?"
"confirm(name[Macarena], genres[music of Latin America], performer[Los del R铆o])",Crossings is a complex abstract strategy board game for 2 players that takes a minimum of 20 minutes. It has an average rating.
"confirm(name[For a Friend], record_label[London], from_album[Red])"," Monopoly, also known as Deluxe Monopoly, is a roll-and-move board game with resource management mechanics. It can be played by up to 8 players in at least 60 minutes. It has a poor rating."
"confirm(name[Stereotypes], genres[Britpop], producer[Stephen Street])",Barbarossa is a fantasy board game.
"confirm(name[Que Calor], is_from_album[True], producer[Diplo])",Is there a stimulating mystery fiction board game?
"confirm(name[Habibi], is_from_album[False], producer[Costi Ioni葲膬])",Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame published in 1918 with a maximum of 2 players and a poor rating.
"confirm(name[Seven Nation Army], producer[Jack White], is_from_album[True])",You found Scotland Yard to be mediocre. Do you usually think cooperative board games are just okay?
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit], from_album[Beg for Mercy])"," Mystery Motive for Murder is an average board game, but the minimum number of players of 1 makes it great for solo gaming."
"confirm(name[Afterlife], publication_year[2013], record_label[Merge Records])",You really enjoyed Twilight Struggle. Do you usually like board wargames?
"confirm(name[Mad Love], record_label[Polydor Records], from_album[Mabel singles discography])",You said Betrayal at House on the Hill was just okay. Do you think most horror fiction board games from Asmodee are mediocre?
"confirm(name[Dog Eat Dog], is_from_album[True], instance_of[musical work/composition])",Twilight Struggle is an advanced board wargame for 2 players with a minimum playing time of 120 minutes.
"confirm(name[Stairway to Heaven], producer[Jimmy Page], performer[Led Zeppelin])",You found Scotland Yard to be just okay. Do you think all Ravensburger deduction games are mediocre?
"confirm(name[Dragostea Din Tei], is_from_album[True], producer[Dan Balan])"," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for two players."
"confirm(name[Wild], is_from_album[True], genres[synth-pop])",You said you like Thurn and Taxis. Do you think most of Andreas Seyfarth's board games are good?
"confirm(name[Somebody That I Used to Know], genres[indie pop], is_from_album[True])","
Lord of the Rings is a fantasy board game developed by Reiner Knizia, published in 2000."
"confirm(name[About Damn Time], genres[disco], instance_of[single])"," Have you ever played a board game in the fantasy genre published by Franckh-Kosmos, like Barbarossa?"
"confirm(name[Careless Whisper], genres[pop music], instance_of[musical work/composition])"," Are you referring to the 1992 board game Battle Masters, based on Warhammer?"
"confirm(name[Waka Waka], producer[Shakira], from_album[Listen Up! The Official 2010 FIFA World Cup Album])"," Have you ever played a board game published by GMT Games, like Twilight Struggle?"
"confirm(name[Get Up!], is_from_album[True], producer[Skrillex])",Is there an educational board game in the mystery fiction genre?
"confirm(name[Over It], record_label[RCA Records], producer[Josh Alexander])",HeroQuest is a fantasy board game with a minimum playing time of 90 minutes.
"confirm(name[Hold My Hand], publication_year[2022], record_label[Interscope Records])"," Have you ever played a board game in the horror fiction genre created by Bruce Glassco, like Betrayal at House on the Hill?"
"confirm(name[For a Friend], producer[Stephen Hague], publication_year[1988])",What entertaining board game can you play with at least three players?
"confirm(name[Dog Eat Dog], is_from_album[True], genres[new wave])"," Barbarossa is a fantasy board game from developer Klaus Teuber and publisher Franckh-Kosmos, for up to 6 players."
"confirm(name[All or Nothing], genres[pop music], producer[Frank Farian])"," Are you talking about the board game Carcassonne, published in 2000?"
"confirm(name[Mr. Brightside], performer[The Killers], publication_year[2003])"," Have you played Battle Masters, a board game?"
"confirm(name[We Are the World], performer[USA for Africa], instance_of[single])",Are you talking about the 1973 board game War of 1812?
"confirm(name[Wild], performer[Troye Sivan], record_label[Universal Music Australia])",You enjoyed HeroQuest. Do you generally like board games?
"confirm(name[I Still...], genres[pop rock], record_label[Jive Records])",Are you talking about the board wargame Stratego?
"confirm(name[Paint It Black], publication_year[1966], producer[Andrew Loog Oldham])"," Have you ever heard of the board game Enchanted Forest? It has alternate names such as Rayas Journey: An Enchanted Forest Game, Sagaland, and The Wizard of Oz."
"confirm(name[Dragostea Din Tei], instance_of[musical work/composition], genres[Eurodance])","
Are you referring to Fantasy Flight Games' A Game of Thrones board game?"
"confirm(name[Pumped Up Kicks], from_album[Torches], genres[pop rock])"," Have you ever played Yomi, a board game?"
"confirm(name[Littlest Things], performer[Lily Allen], genres[contemporary R&B])"," Have you heard of the fantasy board game Enchanted Forest, or its alternate names Rayas Journey: An Enchanted Forest Game, Sagaland, and The Wizard of Oz?"
"confirm(name[Que Calor], performer[J Balvin, El Alfa], is_from_album[True])",You enjoyed Carcassonne. Do you usually like German-style board games by Klaus-Jürgen Wrede?
"confirm(name[As It Was], record_label[Columbia Records], from_album[Harry's House])",Descent Journeys in the Dark is an advanced fantasy board game with a minimum playing time of 120 minutes.
"confirm(name[Get Up!], producer[Skrillex], performer[Skrillex, Korn])",Axis and Allies is an average board game but I appreciate its classic design by Larry Harris and its publication year of 1981.
"confirm(name[Black Barbies], publication_year[2016], is_from_album[False])"," Have you heard of the board game Stratego from Jumbo Games? It has other names like Excalibur, Mini Stratego, Original Stratego, and Royal Stratego."
"confirm(name[King of Sorrow], performer[Sade], genres[contemporary R&B])",What's the most straightforward abstract strategy board game you know of?
"confirm(name[About Damn Time], record_label[Atlantic Records], genres[disco])"," Lord of the Rings is an average board game, but I enjoy it because of its maximum number of players of 5 and its basis on The Lord of the Rings."
"confirm(name[Careless Whisper], publication_year[1984], producer[George Michael])",What makes cooperative board games just an average game in your opinion?
"confirm(name[Mr. Brightside], publication_year[2003], producer[The Killers])"," A Game of Thrones is a great board game, and I appreciate that it was published by Fantasy Flight Games in 2003."
"confirm(name[Old Town Road], publication_year[2018], producer[Trent Reznor])",You found Betrayal at House on the Hill to be just okay. Do you think all board games from Bruce Glassco are mediocre?
"confirm(name[Over It], from_album[Katharine McPhee], is_from_album[True])",Chicago is a complex strategy board game with a minimum playing time of 90 minutes.
"confirm(name[Wanna Get to Know You], genres[hip hop music], instance_of[single])",Have you ever played a tedious board wargame in the board game domain?
"confirm(name[I Still...], publication_year[2005], performer[Backstreet Boys])",Afrikan tähti is a roll-and-move board game for up to 6 players with a poor rating.
"confirm(name[Apple Shampoo], is_from_album[True], from_album[Dude Ranch])",You seemed to like HeroQuest. Do you usually find Games Workshop board games to be good?
"confirm(name[Seven Nation Army], from_album[Elephant], performer[The White Stripes])",War of 1812 is a 1973 wargame published by Columbia Games with an average rating.
"confirm(name[King of Sorrow], is_from_album[True], publication_year[2001])"," Do you ever play a two player board game, like Punaisten ja valkoisten taistelu Suomessa 1918?"
"confirm(name[Get Up!], is_from_album[True], record_label[Roadrunner Records])",What do you like about German-style board games?
"confirm(name[We Are the World], record_label[Sony Music], instance_of[single])",What makes the abstract strategy board games you've played so average?
"confirm(name[Seven Nation Army], record_label[XL Recordings], instance_of[single])"," Do you know about Barbarossa, it's a board game?"
"confirm(name[Careless Whisper], publication_year[1984], record_label[Columbia Records])",Descent Journeys in the Dark is a fantasy board game published by Fantasy Flight Games with a good rating. It has a minimum playing time of 120 minutes.
"confirm(name[Matador], publication_year[1994], instance_of[musical work/composition])"," Have you played Risk, the board game developed by Albert Lamorisse and published by Miro Company?"
"confirm(name[Waka Waka], genres[pop rock], record_label[Epic Records])"," Have you ever played a roll-and-move board game from Finland, like Afrikan tähti?"
"confirm(name[Money, Cash, Hoes], from_album[Vol. 2... Hard Knock Life], genres[East Coast hip hop])",You found Risk to be just okay. Do you think all board wargames from Albert Lamorisse are mediocre?
"confirm(name[Sweet Home Alabama], from_album[Second Helping], is_from_album[True])",What board game do you find particularly tedious?
"confirm(name[Break My Soul], record_label[Parkwood Entertainment], publication_year[2022])"," Have you heard of Axis and Allies, a board game developed by Larry Harris?"
"confirm(name[Hold My Hand], genres[arena rock], record_label[Interscope Records])",Afrikan tähti is a roll-and-move board game from Finland with a poor rating.
"confirm(name[Paint It Black], publication_year[1966], record_label[Elektra])",Crossings is a complex abstract strategy board game for two players with a minimum playing time of 20 minutes.
"confirm(name[Wanna Get to Know You], from_album[Beg for Mercy], instance_of[audio track])",You said Barbarossa was just okay. Do you think that all board games from Klaus Teuber and Franckh-Kosmos are mediocre?
"confirm(name[So Good], publication_year[2012], record_label[Grand Hustle Records])"," Have you ever played a board game for two players, like Mangala?"
"confirm(name[Habibi], genres[dancehall], producer[Costi Ioni葲膬])",Have you ever played a stimulating wargame board game?
"confirm(name[Bitter Sweet Symphony], record_label[Hut Records], from_album[Urban Hymns])",Have you ever heard of the board game Crossings? It's an abstract strategy game.
"confirm(name[Hold My Hand], is_from_album[False], performer[Lady Gaga])",Mystery Motive for Murder is a mystery fiction board game published by Mayfair Games. It can be played in 30 to 90 minutes.
"confirm(name[I], instance_of[single], from_album[To Pimp a Butterfly])"," Have you ever played a board game from Germany by Klaus-Jürgen Wrede, like Carcassonne?"
"confirm(name[Anti-Hero], performer[Taylor Swift], record_label[Republic Records])",Cosmic Encounter is an average board game in my opinion. The maximum number of 8 players and the minimum playing time of 90 minutes make it suitable for long gaming sessions.
"give_opinion(name[I], rating[excellent], genres[hip hop music])give_opinion(name[Waka Waka], rating[excellent], genres[pop music])",Battle Masters is a moderate complexity fantasy board game based on Warhammer with an average rating.
"give_opinion(name[Old Town Road], rating[excellent], performer[Lil Nas X])",Mangala is a simple abstract strategy board game based on mancala. It requires at least 2 players and has an average rating.
"give_opinion(name[I], rating[excellent], performer[Kendrick Lamar])",What is it about board wargames that makes them a poor board game?
"give_opinion(name[Poison], rating[excellent], producer[RedOne])",Punaisten ja valkoisten taistelu Suomessa 1918 is a board wargame published in 1918.
"give_opinion(name[Style], rating[excellent], record_label[Big Machine Records])",What stimulating board game can you play with up to four players?
"give_opinion(name[As It Was], rating[excellent], publication_year[2022])",You said Star Realms was excellent. Do you usually like Darwin Kastle's board games?
"give_opinion(name[All or Nothing], rating[good], record_label[Arista Records])",What's the most confusing deduction game in the board game domain?
"give_opinion(name[Money, Cash, Hoes], rating[good], publication_year[1998])",Are you referring to the board game Mystery Motive for Murder from developer Bruce Glassco and publisher Mayfair Games?
"give_opinion(name[Over It], rating[good], producer[Billy Steinberg])",Have you ever played a frustrating fantasy board game?
"give_opinion(name[Somebody That I Used to Know], rating[excellent], producer[Gotye])",What do you like about science fiction board games?
"give_opinion(name[So Good], rating[excellent], instance_of[single])",Sherlock Holmes Consulting Detective is a complex deduction board game with an excellent rating. It can be played in 60 to 120 minutes.
"give_opinion(name[Marilyn Monroe], rating[excellent], record_label[Columbia Records])"," Are you referring to the board game Barbarossa from developer Klaus Teuber, published in 1988?"
"give_opinion(name[I Still...], rating[excellent], publication_year[2005])",Thurn and Taxis is a 2006 historical board game for a minimum of 2 players.
