mr,mr_new,da,errors,incorrect,duplicate,mr_len,SACC
"confirm(name[Viva la Vida], from_album[Viva la Vida or Death and All His Friends])",Viva la Vida from album Viva la Vida or Death and All His Friends. Viva la Vida domain songs.,confirm,1,from_album,,2,50
"confirm(name[Wanna Get to Know You], record_label[G-Unit Records])",Wanna Get to Know You record label G-Unit Records. Wanna Get to Know You domain songs.,confirm,0,,,2,100
"confirm(name[Style], record_label[Republic Records])",Style record label Republic Records. Style domain songs.,confirm,0,,,2,100
"confirm(name[Viva la Vida], genres[baroque pop])",Viva la Vida genres baroque pop. Viva la Vida domain songs.,confirm,0,,,2,100
"confirm(name[Wild], publication_year[2015])",Wild publication year 2015. Wild domain songs.,confirm,0,,,2,100
"confirm(name[Black Barbies], producer[Mike WiLL Made-It])",Black Barbies producer Mike WiLL Made-It. Black Barbies domain songs.,confirm,0,,,2,100
"confirm(name[Blinding Lights], genres[electropop])",Blinding Lights genres electropop. Blinding Lights domain songs.,confirm,0,,,2,100
"confirm(name[Pumped Up Kicks], record_label[Startime International])",Pumped Up Kicks record label Startime International. Pumped Up Kicks domain songs.,confirm,0,,,2,100
"confirm(name[Feel Again], genres[pop music])",Feel Again genres pop music. Feel Again domain songs.,confirm,0,,,2,100
"confirm(name[For a Friend], producer[Stephen Hague])",For a Friend producer Stephen Hague. For a Friend domain songs.,confirm,0,,,2,100
"confirm(name[About Damn Time], from_album[N/A])",About Damn Time from album N/A. About Damn Time domain songs.,confirm,0,,,2,100
"confirm(name[Matador], publication_year[1994])",Matador publication year 1994. Matador domain songs.,confirm,0,,,2,100
"confirm(name[For a Friend], genres[pop music])",For a Friend genres pop music. For a Friend domain songs.,confirm,0,,,2,100
"confirm(name[Cold Heart], record_label[Mercury Records])",Cold Heart record label Mercury Records. Cold Heart domain songs.,confirm,0,,,2,100
"confirm(name[Macarena], record_label[Inc.])",Macarena record label Inc.. Macarena domain songs.,confirm,0,,,2,100
"confirm(name[Blinding Lights], record_label[Republic Records])",Blinding Lights record label Republic Records. Blinding Lights domain songs.,confirm,0,,,2,100
"confirm(name[Blurred Lines], performer[Robin Thicke, T.I.])","Blurred Lines performer Robin Thicke, T.I.. Blurred Lines domain songs.",confirm,0,,,2,100
"confirm(name[Somebody That I Used to Know], performer[Gotye, Kimbra])","Somebody That I Used to Know performer Gotye, Kimbra. Somebody That I Used to Know domain songs.",confirm,0,,,2,100
"confirm(name[We Are the World], genres[pop music])",We Are the World genres pop music. We Are the World domain songs.,confirm,0,,,2,100
"confirm(name[Stairway to Heaven], record_label[Atlantic Records])",Stairway to Heaven record label Atlantic Records. Stairway to Heaven domain songs.,confirm,0,,,2,100
"confirm(name[Money for Nothing], genres[rock music])",Money for Nothing genres rock music. Money for Nothing domain songs.,confirm,0,,,2,100
"confirm(name[Old Town Road], publication_year[2018])",Old Town Road publication year 2018. Old Town Road domain songs.,confirm,0,,,2,100
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone""])","Dragostea Din Tei from album DiscO-Zone"". Dragostea Din Tei domain songs.",confirm,0,,,2,100
"confirm(name[Stereotypes], record_label[Food Records])",Stereotypes record label Food Records. Stereotypes domain songs.,confirm,0,,,2,100
"confirm(name[I Still...], genres[pop rock])",I Still... genres pop rock. I Still... domain songs.,confirm,0,,,2,100
"confirm(name[Paint It Black], publication_year[1966])",Paint It Black publication year 1966. Paint It Black domain songs.,confirm,0,,,2,100
"confirm(name[Kings of the Wild Frontier], genres[post-punk])",Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier domain songs.,confirm,0,,,2,100
"confirm(name[I], publication_year[2014])",I publication year 2014. I domain songs.,confirm,0,,,2,100
"confirm(name[Anti-Hero], publication_year[2022])",Anti-Hero publication year 2022. Anti-Hero domain songs.,confirm,0,,,2,100
"confirm(name[Evolution], producer[Atticus Ross])",Evolution producer Atticus Ross. Evolution domain songs.,confirm,0,,,2,100
"confirm(name[We Are the World], publication_year[1985])",We Are the World publication year 1985. We Are the World domain songs.,confirm,0,,,2,100
"confirm(name[Sweet Home Alabama], performer[Lynyrd Skynyrd])",Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama domain songs.,confirm,0,,,2,100
"confirm(name[Space Oddity], genres[folk rock])",Space Oddity genres folk rock. Space Oddity domain songs.,confirm,0,,,2,100
"confirm(name[Seven Nation Army], publication_year[2003])",Seven Nation Army publication year 2003. Seven Nation Army domain songs.,confirm,0,,,2,100
"confirm(name[Habibi], publication_year[2014])",Habibi publication year 2014. Habibi domain songs.,confirm,0,,,2,100
"confirm(name[Over It], producer[Josh Alexander])",Over It producer Josh Alexander. Over It domain songs.,confirm,0,,,2,100
"confirm(name[Money for Nothing], producer[Mark Knopfler])",Money for Nothing producer Mark Knopfler. Money for Nothing domain songs.,confirm,0,,,2,100
"confirm(name[Littlest Things], producer[Mark Ronson])",Littlest Things producer Mark Ronson. Littlest Things domain songs.,confirm,0,,,2,100
"confirm(name[Over It], performer[Katharine McPhee])",Over It performer Katharine McPhee. Over It domain songs.,confirm,0,,,2,100
"confirm(name[Blinding Lights], genres[synthwave])",Blinding Lights genres synthwave. Blinding Lights domain songs.,confirm,0,,,2,100
"confirm(name[King of Sorrow], producer[Sade Adu])",King of Sorrow producer Sade Adu. King of Sorrow domain songs.,confirm,0,,,2,100
"confirm(name[Apple Shampoo], from_album[Dude Ranch])",Apple Shampoo from album Dude Ranch. Apple Shampoo domain songs.,confirm,0,,,2,100
"confirm(name[Que Calor], performer[J Balvin, El Alfa])","Que Calor performer J Balvin, El Alfa. Que Calor domain songs.",confirm,0,,,2,100
"confirm(name[All or Nothing], from_album[Girl You Know Its True])",All or Nothing from album Girl You Know Its yes. All or Nothing domain songs.,confirm,1,from_album,,2,50
"confirm(name[Every Breath You Take], publication_year[1983])",Every Breath You Take publication year 1983. Every Breath You Take domain songs.,confirm,0,,,2,100
"confirm(name[About Damn Time], record_label[Atlantic Records])",About Damn Time record label Atlantic Records. About Damn Time domain songs.,confirm,0,,,2,100
"confirm(name[Poison], from_album[Killer Love])",Poison from album Killer Love. Poison domain songs.,confirm,0,,,2,100
"confirm(name[Dragostea Din Tei], publication_year[2003])",Dragostea Din Tei publication year 2003. Dragostea Din Tei domain songs.,confirm,0,,,2,100
"confirm(name[Wild], genres[synth-pop])",Wild genres synth-pop. Wild domain songs.,confirm,0,,,2,100
"confirm(name[All or Nothing], performer[Milli Vanilli])",All or Nothing performer Milli Vanilli. All or Nothing domain songs.,confirm,0,,,2,100
"confirm(name[Habibi], performer[Shaggy, Mohombi])","Habibi performer Shaggy, Mohombi. Habibi domain songs.",confirm,0,,,2,100
"confirm(name[Sweet Home Alabama], genres[rock music])",Sweet Home Alabama genres rock music. Sweet Home Alabama domain songs.,confirm,0,,,2,100
"confirm(name[Mr. Brightside], record_label[Island Records])",Mr. Brightside record label Island Records. Mr. Brightside domain songs.,confirm,0,,,2,100
"confirm(name[Dragostea Din Tei], producer[Dan Balan])",Dragostea Din Tei producer Dan Balan. Dragostea Din Tei domain songs.,confirm,0,,,2,100
"confirm(name[Mr. Brightside], genres[indie rock])",Mr. Brightside genres indie rock. Mr. Brightside domain songs.,confirm,0,,,2,100
"confirm(name[Old Town Road], performer[Lil Nas X])",Old Town Road performer Lil Nas X. Old Town Road domain songs.,confirm,0,,,2,100
"confirm(name[Stairway to Heaven], publication_year[1971])",Stairway to Heaven publication year 1971. Stairway to Heaven domain songs.,confirm,0,,,2,100
"confirm(name[Right Here, Right Now], producer[Giorgio Moroder])","Right Here, Right Now producer Giorgio Moroder. Right Here, Right Now domain songs.",confirm,0,,,2,100
"confirm(name[Apple Shampoo], genres[pop punk])",Apple Shampoo genres pop punk. Apple Shampoo domain songs.,confirm,0,,,2,100
"confirm(name[Waka Waka], producer[John Hill])",Waka Waka producer John Hill. Waka Waka domain songs.,confirm,0,,,2,100
"confirm(name[Evolution], genres[nu metal])",Evolution genres nu metal. Evolution domain songs.,confirm,0,,,2,100
"confirm(name[Stargazing], from_album[Stargazing])",Stargazing from album Stargazing. Stargazing domain songs.,confirm,0,,,2,100
"confirm(name[Seven Nation Army], genres[alternative rock])",Seven Nation Army genres alternative rock. Seven Nation Army domain songs.,confirm,0,,,2,100
"confirm(name[Stairway to Heaven], producer[Jimmy Page])",Stairway to Heaven producer Jimmy Page. Stairway to Heaven domain songs.,confirm,0,,,2,100
"confirm(name[Poison], genres[dance-pop])",Poison genres dance-pop. Poison domain songs.,confirm,0,,,2,100
"confirm(name[Dragostea Din Tei], record_label[Ultra Records])",Dragostea Din Tei record label Ultra Records. Dragostea Din Tei domain songs.,confirm,0,,,2,100
"confirm(name[Dog Eat Dog], genres[new wave])",Dog Eat Dog genres new wave. Dog Eat Dog domain songs.,confirm,0,,,2,100
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit])","Wanna Get to Know You performer Joe, G-Unit. Wanna Get to Know You domain songs.",confirm,0,,,2,100
"confirm(name[Sweet Home Alabama], record_label[MCA Records])",Sweet Home Alabama record label MCA Records. Sweet Home Alabama domain songs.,confirm,0,,,2,100
"confirm(name[As It Was], record_label[Columbia Records])",As It Was record label Columbia Records. As It Was domain songs.,confirm,0,,,2,100
"confirm(name[Y.M.C.A.], genres[disco])",Y.M.C.A. genres disco. Y.M.C.A. domain songs.,confirm,0,,,2,100
"confirm(name[Pumped Up Kicks], genres[pop rock])",Pumped Up Kicks genres pop rock. Pumped Up Kicks domain songs.,confirm,0,,,2,100
"confirm(name[Matador], from_album[Vasos vacíos])",Matador from album Vasos vacíos. Matador domain songs.,confirm,0,,,2,100
"confirm(name[About Damn Time], publication_year[2022])",About Damn Time publication year 2022. About Damn Time domain songs.,confirm,0,,,2,100
"confirm(name[Break My Soul], performer[Beyoncé], producer[The-Dream])",Break My Soul performer Beyoncé. Break My Soul producer The-Dream. Break My Soul domain songs.,confirm,0,,,3,100
"confirm(name[Paint It Black], record_label[Elektra], performer[The Rolling Stones])",Paint It Black record label Elektra. Paint It Black performer The Rolling Stones. Paint It Black domain songs.,confirm,0,,,3,100
"confirm(name[Mr. Brightside], genres[indie rock], from_album[Hot Fuss])",Mr. Brightside genres indie rock. Mr. Brightside from album Hot Fuss. Mr. Brightside domain songs.,confirm,0,,,3,100
"confirm(name[Break My Soul], performer[Beyoncé], genres[disco])",Break My Soul performer Beyoncé. Break My Soul genres disco. Break My Soul domain songs.,confirm,0,,,3,100
"confirm(name[Stargazing], producer[Kygo], from_album[Stargazing])",Stargazing producer Kygo. Stargazing from album Stargazing. Stargazing domain songs.,confirm,0,,,3,100
"confirm(name[The Way I Are], genres[pop music], from_album[All Your Fault: Pt. 2])",The Way I Are genres pop music. The Way I Are from album All Your Fault: Pt. 2. The Way I Are domain songs.,confirm,0,,,3,100
"confirm(name[Sweet Home Alabama], from_album[Second Helping], performer[Lynyrd Skynyrd])",Sweet Home Alabama from album Second Helping. Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama domain songs.,confirm,0,,,3,100
"confirm(name[Marilyn Monroe], genres[funk], publication_year[2014])",Marilyn Monroe genres funk. Marilyn Monroe publication year 2014. Marilyn Monroe domain songs.,confirm,0,,,3,100
"confirm(name[Cold Heart], producer[Pnau], genres[disco])",Cold Heart producer Pnau. Cold Heart genres disco. Cold Heart domain songs.,confirm,0,,,3,100
"confirm(name[As It Was], producer[Kid Harpoon], publication_year[2022])",As It Was producer Kid Harpoon. As It Was publication year 2022. As It Was domain songs.,confirm,0,,,3,100
"confirm(name[Afterlife], producer[James Murphy], performer[Arcade Fire])",Afterlife producer James Murphy. Afterlife performer Arcade Fire. Afterlife domain songs.,confirm,0,,,3,100
"confirm(name[Viva la Vida], record_label[Parlophone], publication_year[2008])",Viva la Vida record label Parlophone. Viva la Vida publication year 2008. Viva la Vida domain songs.,confirm,0,,,3,100
"confirm(name[Kings of the Wild Frontier], producer[Chris Hughes], performer[Adam and the Ants])",Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier performer Adam and the Ants. Kings of the Wild Frontier domain songs.,confirm,0,,,3,100
"confirm(name[Money for Nothing], performer[Dire Straits], genres[rock music])",Money for Nothing performer Dire Straits. Money for Nothing genres rock music. Money for Nothing domain songs.,confirm,0,,,3,100
"confirm(name[Apple Shampoo], performer[Blink-182], publication_year[1997])",Apple Shampoo performer Blink-182. Apple Shampoo publication year 1997. Apple Shampoo domain songs.,confirm,0,,,3,100
"confirm(name[Matador], publication_year[1994], performer[Los Fabulosos Cadillacs])",Matador publication year 1994. Matador performer Los Fabulosos Cadillacs. Matador domain songs.,confirm,0,,,3,100
"confirm(name[Blinding Lights], record_label[Republic Records], performer[The Weeknd])",Blinding Lights record label Republic Records. Blinding Lights performer The Weeknd. Blinding Lights domain songs.,confirm,0,,,3,100
"confirm(name[Pumped Up Kicks], performer[Foster the People], from_album[Torches])",Pumped Up Kicks performer Foster the People. Pumped Up Kicks from album Torches. Pumped Up Kicks domain songs.,confirm,0,,,3,100
"confirm(name[Matador], record_label[Sony Music], producer[K. C. Porter])",Matador record label Sony Music. Matador producer K. C. Porter. Matador domain songs.,confirm,0,,,3,100
"confirm(name[Break My Soul], producer[Beyoncé], performer[Beyoncé])",Break My Soul producer Beyoncé. Break My Soul performer Beyoncé. Break My Soul domain songs.,confirm,0,,,3,100
"confirm(name[Marilyn Monroe], performer[Pharrell Williams], genres[funk])",Marilyn Monroe performer Pharrell Williams. Marilyn Monroe genres funk. Marilyn Monroe domain songs.,confirm,0,,,3,100
"confirm(name[King of Sorrow], genres[contemporary R&B], record_label[Epic Records])",King of Sorrow genres contemporary R&B. King of Sorrow record label Epic Records. King of Sorrow domain songs.,confirm,0,,,3,100
"confirm(name[Dragostea Din Tei], publication_year[2003], producer[Dan Balan])",Dragostea Din Tei publication year 2003. Dragostea Din Tei producer Dan Balan. Dragostea Din Tei domain songs.,confirm,0,,,3,100
"confirm(name[Waka Waka], record_label[Epic Records], publication_year[2010])",Waka Waka record label Epic Records. Waka Waka publication year 2010. Waka Waka domain songs.,confirm,0,,,3,100
"confirm(name[Dog Eat Dog], record_label[Sony Music], producer[Chris Hughes])",Dog Eat Dog record label Sony Music. Dog Eat Dog producer Chris Hughes. Dog Eat Dog domain songs.,confirm,0,,,3,100
"confirm(name[Dragostea Din Tei], genres[Eurodance], from_album[DiscO-Zone""])","Dragostea Din Tei genres Eurodance. Dragostea Din Tei from album DiscO-Zone"". Dragostea Din Tei domain songs.",confirm,0,,,3,100
"confirm(name[Sweet Home Alabama], record_label[MCA Records], from_album[Second Helping])",Sweet Home Alabama record label MCA Records. Sweet Home Alabama from album Second Helping. Sweet Home Alabama domain songs.,confirm,0,,,3,100
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit], publication_year[2004])","Wanna Get to Know You performer Joe, G-Unit. Wanna Get to Know You publication year 2004. Wanna Get to Know You domain songs.",confirm,0,,,3,100
"confirm(name[The Way I Are], publication_year[2017], performer[Bebe Rexha])",The Way I Are publication year 2017. The Way I Are performer Bebe Rexha. The Way I Are domain songs.,confirm,0,,,3,100
"confirm(name[About Damn Time], from_album[N/A], record_label[Nice Life Recording Company])",About Damn Time from album N/A. About Damn Time record label Nice Life Recording Company. About Damn Time domain songs.,confirm,0,,,3,100
"confirm(name[Every Breath You Take], producer[Stewart Copeland], performer[The Police])",Every Breath You Take producer Stewart Copeland. Every Breath You Take performer The Police. Every Breath You Take domain songs.,confirm,0,,,3,100
"confirm(name[Old Town Road], performer[Lil Nas X], producer[Trent Reznor])",Old Town Road performer Lil Nas X. Old Town Road producer Trent Reznor. Old Town Road domain songs.,confirm,0,,,3,100
"confirm(name[Littlest Things], genres[contemporary R&B], publication_year[2006])",Littlest Things genres contemporary R&B. Littlest Things publication year 2006. Littlest Things domain songs.,confirm,0,,,3,100
"confirm(name[Evolution], producer[Atticus Ross], record_label[Virgin Records])",Evolution producer Atticus Ross. Evolution record label Virgin Records. Evolution domain songs.,confirm,0,,,3,100
"confirm(name[Sweet Home Alabama], from_album[Second Helping], publication_year[1974])",Sweet Home Alabama from album Second Helping. Sweet Home Alabama publication year 1974. Sweet Home Alabama domain songs.,confirm,0,,,3,100
"confirm(name[Macarena], genres[Eurodance], performer[Los del Río])",Macarena genres Eurodance. Macarena performer Los del Río. Macarena domain songs.,confirm,0,,,3,100
"confirm(name[Poison], from_album[Killer Love], genres[dance-pop])",Poison from album Killer Love. Poison genres dance-pop. Poison domain songs.,confirm,0,,,3,100
"confirm(name[Stargazing], genres[tropical house], publication_year[2017])",Stargazing genres tropical house. Stargazing publication year 2017. Stargazing domain songs.,confirm,0,,,3,100
"confirm(name[King of Sorrow], producer[Sade Adu], record_label[Epic Records])",King of Sorrow producer Sade Adu. King of Sorrow record label Epic Records. King of Sorrow domain songs.,confirm,0,,,3,100
"confirm(name[Dog Eat Dog], genres[new wave], record_label[Sony Music])",Dog Eat Dog genres new wave. Dog Eat Dog record label Sony Music. Dog Eat Dog domain songs.,confirm,0,,,3,100
"confirm(name[So Good], producer[Ryan Tedder], from_album[Strange Clouds])",So Good producer Ryan Tedder. So Good from album Strange Clouds. So Good domain songs.,confirm,0,,,3,100
"confirm(name[Mr. Brightside], publication_year[2003], genres[indie rock])",Mr. Brightside publication year 2003. Mr. Brightside genres indie rock. Mr. Brightside domain songs.,confirm,0,,,3,100
"confirm(name[Get Up!], from_album[The Path of Totality], record_label[Roadrunner Records])",Get Up! from album The Path of Totality. Get Up! record label Roadrunner Records. Get Up! domain songs.,confirm,0,,,3,100
"confirm(name[Poison], from_album[Killer Love], producer[RedOne])",Poison from album Killer Love. Poison producer RedOne. Poison domain songs.,confirm,0,,,3,100
"confirm(name[Wild], from_album[Blue Neighbourhood], publication_year[2015])",Wild from album Blue Neighbourhood. Wild publication year 2015. Wild domain songs.,confirm,0,,,3,100
"confirm(name[Every Breath You Take], producer[Stewart Copeland], publication_year[1983])",Every Breath You Take producer Stewart Copeland. Every Breath You Take publication year 1983. Every Breath You Take domain songs.,confirm,0,,,3,100
"confirm(name[For a Friend], publication_year[1988], performer[The Communards])",For a Friend publication year 1988. For a Friend performer The Communards. For a Friend domain songs.,confirm,0,,,3,100
"confirm(name[Mad Love], from_album[Mabel singles discography], producer[Steve Mac])",Mad Love from album Mabel singles discography. Mad Love producer Steve Mac. Mad Love domain songs.,confirm,0,,,3,100
"confirm(name[Somebody That I Used to Know], from_album[Making Mirrors], genres[art pop])",Somebody That I Used to Know from album Making Mirrors. Somebody That I Used to Know genres art pop. Somebody That I Used to Know domain songs.,confirm,0,,,3,100
"confirm(name[Pumped Up Kicks], genres[pop rock], from_album[Torches])",Pumped Up Kicks genres pop rock. Pumped Up Kicks from album Torches. Pumped Up Kicks domain songs.,confirm,0,,,3,100
"confirm(name[Money for Nothing], genres[rock music], record_label[Vertigo])",Money for Nothing genres rock music. Money for Nothing record label Vertigo. Money for Nothing domain songs.,confirm,0,,,3,100
"confirm(name[Seven Nation Army], record_label[XL Recordings], from_album[Elephant])",Seven Nation Army record label XL Recordings. Seven Nation Army from album Elephant. Seven Nation Army domain songs.,confirm,0,,,3,100
"confirm(name[Style], performer[Taylor Swift], genres[pop rock])",Style performer Taylor Swift. Style genres pop rock. Style domain songs.,confirm,0,,,3,100
"confirm(name[Cold Heart], publication_year[2021], record_label[Mercury Records])",Cold Heart publication year 2021. Cold Heart record label Mercury Records. Cold Heart domain songs.,confirm,0,,,3,100
"confirm(name[Black Barbies], publication_year[2016], from_album[N/A])",Black Barbies publication year 2016. Black Barbies from album N/A. Black Barbies domain songs.,confirm,0,,,3,100
"confirm(name[Dragostea Din Tei], publication_year[2003], genres[Eurodance])",Dragostea Din Tei publication year 2003. Dragostea Din Tei genres Eurodance. Dragostea Din Tei domain songs.,confirm,0,,,3,100
"confirm(name[Blurred Lines], publication_year[2013], record_label[Universal Music Group])",Blurred Lines publication year 2013. Blurred Lines record label Universal Music Group. Blurred Lines domain songs.,confirm,0,,,3,100
"confirm(name[Evolution], from_album[Untitled Korn album], record_label[EMI])",Evolution from album Untitled Korn album. Evolution record label EMI. Evolution domain songs.,confirm,0,,,3,100
"confirm(name[Mr. Brightside], from_album[Hot Fuss], genres[indie rock])",Mr. Brightside from album Hot Fuss. Mr. Brightside genres indie rock. Mr. Brightside domain songs.,confirm,0,,,3,100
"confirm(name[We Are the World], producer[Michael Omartian], from_album[We Are the World])",We Are the World producer Michael Omartian. We Are the World from album We Are the World. We Are the World domain songs.,confirm,0,,,3,100
"confirm(name[Marilyn Monroe], publication_year[2014], record_label[Columbia Records])",Marilyn Monroe publication year 2014. Marilyn Monroe record label Columbia Records. Marilyn Monroe domain songs.,confirm,0,,,3,100
"confirm(name[Kings of the Wild Frontier], from_album[Kings of the Wild Frontier], producer[Chris Hughes])",Kings of the Wild Frontier from album Kings of the Wild Frontier. Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier domain songs.,confirm,0,,,3,100
"confirm(name[Old Town Road], publication_year[2018], from_album[7])",Old Town Road publication year 2018. Old Town Road from album 7. Old Town Road domain songs.,confirm,0,,,3,100
"confirm(name[King of Sorrow], producer[Sade Adu], genres[contemporary R&B])",King of Sorrow producer Sade Adu. King of Sorrow genres contemporary R&B. King of Sorrow domain songs.,confirm,0,,,3,100
"confirm(name[Blinding Lights], performer[The Weeknd], genres[synthwave])",Blinding Lights performer The Weeknd. Blinding Lights genres synthwave. Blinding Lights domain songs.,confirm,0,,,3,100
"confirm(name[Apple Shampoo], record_label[MCA Records], genres[pop punk])",Apple Shampoo record label MCA Records. Apple Shampoo genres pop punk. Apple Shampoo domain songs.,confirm,0,,,3,100
"confirm(name[Every Breath You Take], publication_year[1983], from_album[Synchronicity])",Every Breath You Take publication year 1983. Every Breath You Take from album Synchronicity. Every Breath You Take domain songs.,confirm,0,,,3,100
"confirm(name[So Good], performer[B.o.B], publication_year[2012])",So Good performer B.o.B. So Good publication year 2012. So Good domain songs.,confirm,0,,,3,100
"confirm(name[Seven Nation Army], from_album[Elephant], performer[The White Stripes])",Seven Nation Army from album Elephant. Seven Nation Army performer The White Stripes. Seven Nation Army domain songs.,confirm,0,,,3,100
"confirm(name[Stereotypes], performer[Blur], publication_year[1996])",Stereotypes performer Blur. Stereotypes publication year 1996. Stereotypes domain songs.,confirm,0,,,3,100
"confirm(name[Apple Shampoo], producer[Mark Trombino], genres[pop punk])",Apple Shampoo producer Mark Trombino. Apple Shampoo genres pop punk. Apple Shampoo domain songs.,confirm,0,,,3,100
"confirm(name[Over It], record_label[RCA Records], from_album[Katharine McPhee])",Over It record label RCA Records. Over It from album Katharine McPhee. Over It domain songs.,confirm,0,,,3,100
"confirm(name[Wanna Get to Know You], record_label[G-Unit Records], genres[hip hop music])",Wanna Get to Know You record label G-Unit Records. Wanna Get to Know You genres hip hop music. Wanna Get to Know You domain songs.,confirm,0,,,3,100
"confirm(name[Marilyn Monroe], from_album[Girl], performer[Pharrell Williams])",Marilyn Monroe from album Girl. Marilyn Monroe performer Pharrell Williams. Marilyn Monroe domain songs.,confirm,0,,,3,100
"confirm(name[Stairway to Heaven], publication_year[1971], genres[folk rock])",Stairway to Heaven publication year 1971. Stairway to Heaven genres folk rock. Stairway to Heaven domain songs.,confirm,0,,,3,100
"confirm(name[Money, Cash, Hoes], performer[DMX, Jay-Z], from_album[Vol. 2... Hard Knock Life])","Money, Cash, Hoes performer DMX, Jay-Z. Money, Cash, Hoes from album Vol. 2... Hard Knock Life. Money, Cash, Hoes domain songs.",confirm,0,,,3,100
"confirm(name[Blinding Lights], record_label[Republic Records], from_album[The Weeknd singles discography])",Blinding Lights record label Republic Records. Blinding Lights from album The Weeknd singles discography. Blinding Lights domain songs.,confirm,0,,,3,100
"confirm(name[Evolution], producer[Atticus Ross], publication_year[2007])",Evolution producer Atticus Ross. Evolution publication year 2007. Evolution domain songs.,confirm,0,,,3,100
"confirm(name[Stargazing], record_label[Sony Music], producer[Kygo])",Stargazing record label Sony Music. Stargazing producer Kygo. Stargazing domain songs.,confirm,0,,,3,100
"confirm(name[Y.M.C.A.], publication_year[1978], record_label[Casablanca Records])",Y.M.C.A. publication year 1978. Y.M.C.A. record label Casablanca Records. Y.M.C.A. domain songs.,confirm,0,,,3,100
