mr,text,word counts,,pred,,num_triples,num_hops,popularity,scores,,dacc,LM_prob,PPL,pseudo_bleu,criteria,song_name,
"confirm(name[Somebody That I Used to Know], performer[Gotye, Kimbra])"," Are you referring to ""Somebody That I Used to Know"" by Gotye and Kimbra?",14,,confirm,#REF!,2,1,popular,0.8066714,,#REF!,0.01937311267,51.61793137,16.46702986,match_scores,Somebody That I Used to Know,#REF!
"confirm(name[Marilyn Monroe], producer[Pharrell Williams])",Are you referring to the song Marilyn Monroe produced by Pharrell Williams?,12,,confirm,#REF!,2,1,not so popular,0.88188285,,#REF!,0.0117329133,85.23032379,8.737167852,match_scores_PPL,Marilyn Monroe,#REF!
"confirm(name[So Good], genres[pop rap])",Are you referring to the pop rap song So Good?,10,,confirm,#REF!,2,1,not so popular,0.7354951,,#REF!,0.003565665626,280.4525452,7.495553473,match_scores_PPL,So Good,#REF!
"confirm(name[Careless Whisper], is_from_album[True])"," Are you referring to Careless Whisper, which is from an album?",11,,confirm,#REF!,2,1,popular,0.53398114,,#REF!,0.00698008605,143.2647095,6.178110636,match_scores,Careless Whisper,#REF!
"confirm(name[Mad Love], genres[electropop])",Are you referring to the electropop song Mad Love?,9,,confirm,#REF!,2,1,not so popular,0.7960212,,#REF!,0.002672883819,374.1277466,8.392229813,match_scores_PPL,Mad Love,#REF!
"confirm(name[Space Oddity], genres[space rock])",Are you talking about the Space Oddity space rock song?,10,,confirm,#REF!,2,1,popular,0.8462247,,#REF!,0.009194880437,108.7561722,7.495553473,match_scores_PPL,Space Oddity,#REF!
"confirm(name[Right Here, Right Now], from_album[Déjà Vu])"," Are you referring to Right Here, Right Now from the album Déjà Vu?",13,,confirm,#REF!,2,1,not so popular,0.7803331,,#REF!,0.01649576811,60.62160873,28.29559628,match_scores_PPL,"Right Here, Right Now",#REF!
"confirm(name[Y.M.C.A.], performer[Village People])",Are you talking about the song Y.M.C.A. by the Village People?,11,,confirm,#REF!,2,1,popular,0.83571744,,#REF!,0.02723021217,36.7239151,40.077817,match_scores_PPL,Y.M.C.A.,#REF!
"confirm(name[The Way I Are], producer[Joel Little])",Are you referring to the song The Way I Are produced by Joel Little?,14,,confirm,#REF!,2,1,not so popular,0.73290294,,#REF!,0.006002913157,166.5857849,19.5647515,match_scores_PPL,The Way I Are,#REF!
"confirm(name[Dragostea Din Tei], performer[O-Zone])",Are you referring to the song Dragostea Din Tei by O-Zone?,11,,confirm,#REF!,2,1,popular,0.8957881,,#REF!,0.002055974096,486.3874512,13.54599427,match_scores_PPL,Dragostea Din Tei,#REF!
"confirm(name[Paint It Black], performer[The Rolling Stones])",Is Paint It Black the song by The Rolling Stones?,10,,confirm,#REF!,2,1,popular,0.83484244,,#REF!,0.005552178541,180.1094818,23.46235032,match_scores,Paint It Black,#REF!
"confirm(name[Every Breath You Take], record_label[A&M Records])",Are you referring to Every Breath You Take from A&M Records?,11,,confirm,#REF!,2,1,popular,0.8650612,,#REF!,0.009129405026,109.5361633,35.55670236,match_scores,Every Breath You Take,#REF!
"confirm(name[In My Bed], producer[Salaam Remi])",Are you talking about Salaam Remi's song In My Bed?,10,,confirm,#REF!,2,1,not so popular,0.8770997,,#REF!,0.007374471608,135.6029358,14.99110695,match_scores,In My Bed,#REF!
"confirm(name[I Was Gonna Cancel], instance_of[musical work/composition])",Are you referring to the musical work/composition of I Was Gonna Cancel?,12,,confirm,#REF!,2,1,not so popular,0.87409097,,#REF!,0.005695236705,175.5853271,17.39579738,match_scores,I Was Gonna Cancel,#REF!
"confirm(name[Matador], instance_of[musical work/composition])",Are you referring to the musical work/composition Matador?,8,,confirm,#REF!,2,1,not so popular,0.914615,,#REF!,0.00388575169,257.3504639,4.456882761,match_scores_PPL,Matador,#REF!
"confirm(name[Black Barbies], record_label[Interscope Records])",Are you referring to the song Black Barbies by Interscope Records?,11,,confirm,#REF!,2,1,not so popular,0.8617065,,#REF!,0.01494054365,66.93196869,9.578464409,match_scores,Black Barbies,#REF!
"confirm(name[Feel Again], from_album[Native])"," Are you referring to ""Feel Again"" from the album Native?",10,,confirm,#REF!,2,1,not so popular,0.6421788,,#REF!,0.004672962169,213.9970245,6.837203339,match_scores,Feel Again,#REF!
"confirm(name[Afterlife], instance_of[single])",Are you referring to the song Afterlife which is a single?,11,,confirm,#REF!,2,1,not so popular,0.67739874,,#REF!,0.006503857199,153.7549133,3.386498568,match_scores,Afterlife,#REF!
"confirm(name[Black Barbies], performer[Nicki Minaj])",Are you referring to the Nicki Minaj song Black Barbies?,10,,confirm,#REF!,2,1,not so popular,0.9136424,,#REF!,0.01291607312,77.4229126,10.60031338,match_scores,Black Barbies,#REF!
"confirm(name[So Good], performer[B.o.B])",Are you referring to the song So Good by B.o.B?,10,,confirm,#REF!,2,1,not so popular,0.7635143,,#REF!,0.01783478266,56.0702095,9.103526406,match_scores_PPL,So Good,#REF!
"confirm(name[Viva la Vida], from_album[Viva la Vida or Death and All His Friends])",Are you referring to Viva la Vida from the album Viva la Vida or Death and All His Friends?,19,,confirm,#REF!,2,1,popular,0.94606215,,#REF!,0.02037866549,49.07092667,9.107438368,match_scores,Viva la Vida,#REF!
"confirm(name[Que Calor], producer[Diplo])",Are you referring to Diplo's song Que Calor?,8,,confirm,#REF!,2,1,not so popular,0.8365106,,#REF!,0.004013233579,249.1756287,9.535414041,match_scores,Que Calor,#REF!
"confirm(name[For a Friend], from_album[Red])"," Are you talking about ""For a Friend"" from the album Red?",11,,confirm,#REF!,2,1,not so popular,0.6129407,,#REF!,0.007227855566,138.3536224,3.737437944,match_scores,For a Friend,#REF!
"confirm(name[Seven Nation Army], genres[garage rock])",Are you talking about the garage rock song Seven Nation Army?,11,,confirm,#REF!,2,1,popular,0.87725395,,#REF!,0.005199803992,192.3149414,12.60596809,match_scores,Seven Nation Army,#REF!
"confirm(name[For a Friend], publication_year[1988])",Are you referring to the song For a Friend from 1988?,11,,confirm,#REF!,2,1,not so popular,0.7920829,,#REF!,0.005593796294,178.7694702,4.456882761,match_scores,For a Friend,#REF!
"confirm(name[Stairway to Heaven], is_from_album[True])",Are you referring to Stairway to Heaven from an album?,10,,confirm,#REF!,2,1,popular,0.58556795,,#REF!,0.0157270176,63.5848465,4.456882761,match_scores,Stairway to Heaven,#REF!
"confirm(name[Waka Waka], record_label[Epic Records])",Are you referring to Waka Waka by Epic Records?,9,,confirm,#REF!,2,1,popular,0.9404738,,#REF!,0.004348439409,229.9675598,11.86840522,match_scores,Waka Waka,#REF!
"confirm(name[Old Town Road], from_album[7])",Are you talking about the song Old Town Road from the album 7?,13,,confirm,#REF!,2,1,popular,0.69996476,,#REF!,0.005302174,188.6018829,11.35935489,match_scores_PPL,Old Town Road,#REF!
"confirm(name[Mr. Brightside], producer[The Killers])",Are you referring to Mr. Brightside by The Killers?,9,,confirm,#REF!,2,1,popular,0.83877087,,#REF!,0.007439111684,134.4246521,17.54219848,match_scores_PPL,Mr. Brightside,#REF!
"confirm(name[Careless Whisper], from_album[Make It Big])",Are you referring to Careless Whisper from the album Make It Big?,12,,confirm,#REF!,2,1,popular,0.72139156,,#REF!,0.005065721193,197.4052582,14.45892467,match_scores,Careless Whisper,#REF!
"confirm(name[Anti-Hero], genres[synth-pop])",Are you referring to the synth-pop song Anti-Hero?,8,,confirm,#REF!,2,1,popular,0.8419917,,#REF!,0.008414975282,118.835762,4.76770702,match_scores_PPL,Anti-Hero,#REF!
"confirm(name[Poison], producer[RedOne])",Are you talking about the song Poison produced by RedOne?,10,,confirm,#REF!,2,1,not so popular,0.7154263,,#REF!,0.002460564919,406.4107361,3.747776737,match_scores,Poison,#REF!
"confirm(name[All or Nothing], performer[Milli Vanilli])",Are you referring to Milli Vanilli's song All or Nothing?,10,,confirm,#REF!,2,1,not so popular,0.86017686,,#REF!,0.01156441866,86.47213745,4.932351569,match_scores,All or Nothing,#REF!
"confirm(name[Old Town Road], instance_of[single])"," Are you referring to the single, Old Town Road?",9,,confirm,#REF!,2,1,popular,0.81521505,,#REF!,0.004451574825,224.6396027,13.95079697,match_scores,Old Town Road,#REF!
"confirm(name[So Good], producer[Ryan Tedder])",Are you talking about the song So Good produced by Ryan Tedder?,12,,confirm,#REF!,2,1,not so popular,0.80190283,,#REF!,0.005505601582,181.633194,8.737167852,match_scores,So Good,#REF!
"confirm(name[Blinding Lights], instance_of[single])",Are you referring to the single Blinding Lights?,8,,confirm,#REF!,2,1,popular,0.8370017,,#REF!,0.003896628052,256.6321411,9.535414041,match_scores,Blinding Lights,#REF!
"confirm(name[Littlest Things], producer[Mark Ronson])",Are you referring to Littlest Things produced by Mark Ronson?,10,,confirm,#REF!,2,1,not so popular,0.8639926,,#REF!,0.01070697379,93.39707184,10.60031338,match_scores,Littlest Things,#REF!
"confirm(name[Style], genres[pop rock])",Are you referring to the pop rock song Style?,9,,confirm,#REF!,2,1,popular,0.73972434,,#REF!,0.003253136684,307.3956299,4.196114906,match_scores_PPL,Style,#REF!
"confirm(name[Dragostea Din Tei], instance_of[musical work/composition])",Are you referring to the musical work/composition Dragostea Din Tei?,10,,confirm,#REF!,2,1,popular,0.94602394,,#REF!,0.001792264471,557.9533691,12.35622127,match_scores_PPL,Dragostea Din Tei,#REF!
"confirm(name[Evolution], record_label[Virgin Records])",Are you referring to the song Evolution by Virgin Records?,10,,confirm,#REF!,2,1,not so popular,0.803321,,#REF!,0.004479148,223.2567444,8.295193507,match_scores_PPL,Evolution,#REF!
"confirm(name[Seven Nation Army], instance_of[single])"," Are you talking about the single ""Seven Nation Army""?",9,,confirm,#REF!,2,1,popular,0.78851163,,#REF!,0.00932710587,107.2143936,12.60596809,match_scores,Seven Nation Army,#REF!
"confirm(name[Stargazing], record_label[Sony Music])",Are you referring to the song Stargazing from Sony Music?,10,,confirm,#REF!,2,1,not so popular,0.8801627,,#REF!,0.006030098228,165.8347778,8.295193507,match_scores_PPL,Stargazing,#REF!
"confirm(name[Evolution], instance_of[single])"," Are you referring to the single ""Evolution""?",7,,confirm,#REF!,2,1,not so popular,0.5935884,,#REF!,0.006822965208,146.5638428,4.196114906,match_scores_PPL,Evolution,#REF!
"confirm(name[Pumped Up Kicks], genres[pop rock])",Are you referring to the pop rock song Pumped Up Kicks?,11,,confirm,#REF!,2,1,popular,0.8142398,,#REF!,0.008804998492,113.5718536,12.60596809,match_scores_PPL,Pumped Up Kicks,#REF!
"confirm(name[Stereotypes], record_label[Food Records])",Are you talking about the song Stereotypes by Food Records?,10,,confirm,#REF!,2,1,not so popular,0.8317789,,#REF!,0.004622850365,216.3167572,8.295193507,match_scores,Stereotypes,#REF!
"confirm(name[All or Nothing], is_from_album[True])",Are you talking about the song All or Nothing which is from an album?,14,,confirm,#REF!,2,1,not so popular,0.41909367,,#REF!,0.01127797164,88.66842651,3.125190764,match_scores,All or Nothing,#REF!
"confirm(name[We Are the World], performer[USA for Africa])",Are you referring to We Are the World by USA for Africa?,12,,confirm,#REF!,2,1,popular,0.88215744,,#REF!,0.004107311793,243.4682465,7.347053126,match_scores,We Are the World,#REF!
"confirm(name[Y.M.C.A.], producer[Jacques Morali])",Are you referring to Y.M.C.A. by Jacques Morali?,8,,confirm,#REF!,2,1,popular,0.91901374,,#REF!,0.01023423844,97.71122742,48.41524713,match_scores,Y.M.C.A.,#REF!
"confirm(name[Careless Whisper], instance_of[musical work/composition])",Are you referring to the musical work/composition Careless Whisper?,9,,confirm,#REF!,2,1,popular,0.907654,,#REF!,0.003997339661,250.1663818,7.495553473,match_scores,Careless Whisper,#REF!
"confirm(name[Cold Heart], producer[Pnau])",Are you referring to the song Cold Heart by Pnau?,10,,confirm,#REF!,2,1,popular,0.8308526,,#REF!,0.004114199677,243.0606384,8.295193507,match_scores,Cold Heart,#REF!
"confirm(name[Pumped Up Kicks], is_from_album[True])",Are you talking about the song Pumped Up Kicks from an album?,12,,confirm,#REF!,2,1,popular,0.49713647,,#REF!,0.01190791462,83.97776031,11.49875956,match_scores,Pumped Up Kicks,#REF!
"confirm(name[Viva la Vida], instance_of[single])",Are you referring to the single entitled Viva la Vida?,10,,confirm,#REF!,2,1,popular,0.8757465,,#REF!,0.008472324872,118.0313568,4.456882761,match_scores,Viva la Vida,#REF!
"confirm(name[Stargazing], from_album[Stargazing])"," Are you referring to the song ""Stargazing"" from the album ""Stargazing""?",11,,confirm,#REF!,2,1,not so popular,0.7644712,,#REF!,0.03790359341,26.38272285,2.908317711,match_scores,Stargazing,#REF!
"confirm(name[Sweet Home Alabama], is_from_album[True])",Are you referring to the song Sweet Home Alabama from an album?,12,,confirm,#REF!,2,1,popular,0.6585539,,#REF!,0.01053651058,94.90808105,11.49875956,match_scores_PPL,Sweet Home Alabama,#REF!
"confirm(name[The Way I Are], genres[pop music])"," Are you referring to The Way I Are, the pop music song?",12,,confirm,#REF!,2,1,not so popular,0.78381056,,#REF!,0.006930325568,144.2933655,17.77835118,match_scores_PPL,The Way I Are,#REF!
"confirm(name[As It Was], performer[Harry Styles])"," Are you referring to ""As It Was"" by Harry Styles?",10,,confirm,#REF!,2,1,popular,0.76429296,,#REF!,0.009528961545,104.9432297,14.45892467,match_scores,As It Was,#REF!
"confirm(name[Wanna Get to Know You], instance_of[audio track])"," Are you referring to the audio track ""Wanna Get to Know You""?",12,,confirm,#REF!,2,1,not so popular,0.7789961,,#REF!,0.01606943183,62.22995377,7.432998185,match_scores,Wanna Get to Know You,#REF!
"confirm(name[Mad Love], record_label[Polydor Records])",Are you referring to the song Mad Love by Polydor Records?,11,,confirm,#REF!,2,1,not so popular,0.83835256,,#REF!,0.00661473203,151.1777039,9.578464409,match_scores_PPL,Mad Love,#REF!
"confirm(name[Get Up!], record_label[Roadrunner Records])",Are you referring to Get Up! by Roadrunner Records?,9,,confirm,#REF!,2,1,not so popular,0.83465374,,#REF!,0.004175935496,239.4673004,17.54219848,match_scores_PPL,Get Up!,#REF!
"confirm(name[In My Bed], from_album[Frank])",Are you referring to the song In My Bed from Frank album?,12,,confirm,#REF!,2,1,not so popular,0.6234458,,#REF!,0.003398859855,294.2163086,12.35622127,match_scores,In My Bed,#REF!
"confirm(name[King of Sorrow], publication_year[2001])",Are you referring to the King of Sorrow song from 2001?,11,,confirm,#REF!,2,1,not so popular,0.8097225,,#REF!,0.008862313847,112.8373489,4.456882761,match_scores,King of Sorrow,#REF!
"confirm(name[Littlest Things], instance_of[single])"," Are you referring to the single ""Littlest Things""?",8,,confirm,#REF!,2,1,not so popular,0.6938113,,#REF!,0.008141242407,122.8313751,7.495553473,match_scores_PPL,Littlest Things,#REF!
"confirm(name[Blurred Lines], performer[Pharrell Williams, T.I.])",Are you referring to the song Blurred Lines by Pharrell Williams and T.I.?,13,,confirm,#REF!,2,1,popular,0.8607037,,#REF!,0.03261164145,30.66389656,19.34529902,match_scores_PPL,Blurred Lines,#REF!
"confirm(name[Every Breath You Take], from_album[Synchronicity])",Are you referring to Every Breath You Take from the Synchronicity album?,12,,confirm,#REF!,2,1,popular,0.789528,,#REF!,0.0154746076,64.62199402,20.44800736,match_scores,Every Breath You Take,#REF!
"confirm(name[Poison], genres[dance-pop])"," Are you talking about the dance-pop song, Poison?",8,,confirm,#REF!,2,1,not so popular,0.7640262,,#REF!,0.005679553123,176.0701904,4.196114906,match_scores,Poison,#REF!
"confirm(name[Money for Nothing], is_from_album[True])",Are you referring to the song Money for Nothing from an album?,12,,confirm,#REF!,2,1,popular,0.40225208,,#REF!,0.008386677856,119.2367249,3.673526563,match_scores_PPL,Money for Nothing,#REF!
"confirm(name[Marilyn Monroe], from_album[Girl])",Are you referring to Marilyn Monroe from the album Girl?,10,,confirm,#REF!,2,1,not so popular,0.78132397,,#REF!,0.005476263911,182.6062469,8.295193507,match_scores,Marilyn Monroe,#REF!
"confirm(name[Space Oddity], instance_of[single])",Are you referring to the Space Oddity single?,8,,confirm,#REF!,2,1,popular,0.7822701,,#REF!,0.007385997485,135.3913269,9.535414041,match_scores_PPL,Space Oddity,#REF!
"confirm(name[Stairway to Heaven], producer[Jimmy Page])",Are you referring to Jimmy Page's Stairway to Heaven song?,10,,confirm,#REF!,2,1,popular,0.8390676,,#REF!,0.01484965226,67.34164429,4.932351569,match_scores,Stairway to Heaven,#REF!
"confirm(name[Evolution], producer[Atticus Ross])",Are you referring to the song Evolution produced by Atticus Ross?,11,,confirm,#REF!,2,1,not so popular,0.83239245,,#REF!,0.007001991426,142.8165131,7.495553473,match_scores_PPL,Evolution,#REF!
"confirm(name[Somebody That I Used to Know], genres[indie pop])",Are you talking about the indie pop song Somebody That I Used to Know?,14,,confirm,#REF!,2,1,popular,0.7900388,,#REF!,0.01440512163,69.41975403,17.39579738,match_scores,Somebody That I Used to Know,#REF!
"confirm(name[Blurred Lines], is_from_album[True])",Are you referring to Blurred Lines which is from an album?,11,,confirm,#REF!,2,1,popular,0.45405078,,#REF!,0.008296233882,120.5366211,6.772997137,match_scores,Blurred Lines,#REF!
"confirm(name[Black Barbies], is_from_album[False])",Are you talking about the song Black Barbies?,8,,confirm,#REF!,2,1,not so popular,0.70092714,,#REF!,0.005309161268,188.3536682,9.535414041,match_scores,Black Barbies,#REF!
"confirm(name[Anti-Hero], from_album[Midnights])",Are you referring to the song Anti-Hero from Midnights?,9,,confirm,#REF!,2,1,popular,0.7977504,,#REF!,0.007677680801,130.2476654,4.990049702,match_scores,Anti-Hero,#REF!
"confirm(name[Money for Nothing], performer[Dire Straits])"," Are you referring to the Dire Straits song, Money for Nothing?",11,,confirm,#REF!,2,1,popular,0.7703595,,#REF!,0.008648931711,115.6212158,7.347053126,match_scores,Money for Nothing,#REF!
"confirm(name[Habibi], performer[Faydee, Shaggy])"," Are you referring to Habibi, the song by Faydee and Shaggy?",11,,confirm,#REF!,2,1,not so popular,0.8793787,,#REF!,0.00704195992,142.0059204,4.368583926,match_scores,Habibi,#REF!
"confirm(name[Money for Nothing], producer[Mark Knopfler])",Are you referring to the song Money for Nothing by Mark Knopfler?,12,,confirm,#REF!,2,1,popular,0.8745643,,#REF!,0.017852225,56.01542664,7.347053126,match_scores,Money for Nothing,#REF!
"confirm(name[Wild], producer[Alex Hope])"," Are you talking about Wild, the song produced by Alex Hope?",11,,confirm,#REF!,2,1,not so popular,0.7437927,,#REF!,0.004444664483,224.9888611,6.837203339,match_scores_PPL,Wild,#REF!
"confirm(name[Y.M.C.A.], record_label[Casablanca Records])",Are you referring to Y.M.C.A. by Casablanca Records?,8,,confirm,#REF!,2,1,popular,0.91627616,,#REF!,0.0238004814,42.01595688,48.41524713,match_scores_PPL,Y.M.C.A.,#REF!
"confirm(name[Right Here, Right Now], genres[electro])"," Are you referring to Right Here, Right Now, the electro song?",11,,confirm,#REF!,2,1,not so popular,0.7563741,,#REF!,0.005179154031,193.0817261,26.58483577,match_scores,"Right Here, Right Now",#REF!
"confirm(name[Que Calor], is_from_album[True])",Are you referring to the song Que Calor from an album?,11,,confirm,#REF!,2,1,not so popular,0.61055577,,#REF!,0.002676555852,373.6144714,6.772997137,match_scores_PPL,Que Calor,#REF!
"confirm(name[Afterlife], is_from_album[True])",Are you referring to the song Afterlife from an album?,10,,confirm,#REF!,2,1,not so popular,0.47160712,,#REF!,0.006943434256,144.0209503,3.747776737,match_scores,Afterlife,#REF!
"confirm(name[In My Bed], is_from_album[True])"," Are you referring to In My Bed, the song from an album?",12,,confirm,#REF!,2,1,not so popular,0.37731057,,#REF!,0.007904798417,126.5054398,10.57107086,match_scores,In My Bed,#REF!
"confirm(name[Over It], instance_of[single])"," Are you referring to the single song, Over It?",9,,confirm,#REF!,2,1,not so popular,0.5167134,,#REF!,0.005642356104,177.2309265,7.495553473,match_scores,Over It,#REF!
"confirm(name[We Are the World], instance_of[single])"," Are you referring to the single, We Are the World?",10,,confirm,#REF!,2,1,popular,0.76054794,,#REF!,0.009479518239,105.490593,7.495553473,match_scores,We Are the World,#REF!
"confirm(name[Littlest Things], performer[Lily Allen])",Are you referring to “Littlest Things” by Lily Allen?,9,,confirm,#REF!,2,1,not so popular,0.84042186,,#REF!,0.003567808671,280.2840881,8.392229813,match_scores,Littlest Things,#REF!
"confirm(name[Anti-Hero], record_label[Republic Records])"," Are you referring to Anti-Hero, the song from Republic Records?",10,,confirm,#REF!,2,1,popular,0.82737833,,#REF!,0.007185511878,139.1689301,7.495553473,match_scores,Anti-Hero,#REF!
"confirm(name[Seven Nation Army], publication_year[2003])",Are you referring to the song Seven Nation Army released in 2003?,12,,confirm,#REF!,2,1,popular,0.82750416,,#REF!,0.007863399353,127.171463,12.35622127,match_scores_PPL,Seven Nation Army,#REF!
"confirm(name[King of Sorrow], producer[Sade Adu])",Are you referring to Sade Adu's song King of Sorrow?,10,,confirm,#REF!,2,1,not so popular,0.85245734,,#REF!,0.005512153552,181.4172974,4.932351569,match_scores,King of Sorrow,#REF!
"confirm(name[Anti-Hero], instance_of[musical work/composition])",Are you referring to the musical work/composition Anti-Hero?,8,,confirm,#REF!,2,1,popular,0.90527445,,#REF!,0.004912563182,203.5597229,4.456882761,match_scores,Anti-Hero,#REF!
"confirm(name[Viva la Vida], is_from_album[True], publication_year[2008])"," Are you referring to the 2008 song, Viva La Vida, from an album?",13,,confirm,#REF!,3,1,popular,0.76043266,,#REF!,0.01830031778,54.64385986,9.782375749,match_scores,Viva la Vida,#REF!
"confirm(name[Stargazing], is_from_album[True], record_label[Ultra Music])"," Are you referring to Stargazing, from the album on Ultra Music?",11,,confirm,#REF!,3,1,not so popular,0.74331397,,#REF!,0.004533870753,220.562088,6.837203339,match_scores,Stargazing,#REF!
"confirm(name[Apple Shampoo], record_label[MCA Records], performer[Blink-182])",Are you referring to Blink-182's Apple Shampoo on MCA Records?,10,,confirm,#REF!,3,1,not so popular,0.9300966,,#REF!,0.006047481998,165.358078,8.295193507,match_scores,Apple Shampoo,#REF!
"confirm(name[In My Bed], genres[soul music], from_album[Frank])"," Are you referring to In My Bed, the soul music from Frank album?",13,,confirm,#REF!,3,1,not so popular,0.7847455,,#REF!,0.002790166977,358.4014893,10.51184684,match_scores,In My Bed,#REF!
"confirm(name[Style], from_album[1989], record_label[Big Machine Records])",Are you referring to the song 'Style' released by Big Machine Records in 1989?,14,,confirm,#REF!,3,1,popular,0.77366793,,#REF!,0.01701214474,58.7815361,10.51184684,match_scores,Style,#REF!
"confirm(name[Hold My Hand], is_from_album[False], instance_of[single])"," Are you referring to the single, Hold My Hand?",9,,confirm,#REF!,3,1,popular,0.57414967,,#REF!,0.004891763682,204.4252472,13.95079697,match_scores,Hold My Hand,#REF!
"confirm(name[Anti-Hero], genres[synth-pop], record_label[Republic Records])",Are you talking about the synth-pop song Anti-Hero released by Republic Records?,12,,confirm,#REF!,3,1,popular,0.8688937,,#REF!,0.007212431055,138.6495056,6.837203339,match_scores,Anti-Hero,#REF!
"confirm(name[Apple Shampoo], from_album[Dude Ranch], producer[Mark Trombino])"," Are you referring to Apple Shampoo, the song from Dude Ranch produced by Mark Trombino?",15,,confirm,#REF!,3,1,not so popular,0.8727666,,#REF!,0.004669804239,214.1417389,7.922250669,match_scores,Apple Shampoo,#REF!
"confirm(name[In My Bed], performer[Amy Winehouse], from_album[Frank])",Are you referring to the song In My Bed by Amy Winehouse from the album Frank?,16,,confirm,#REF!,3,1,not so popular,0.7807898,,#REF!,0.01046897112,95.52037048,11.20375434,match_scores,In My Bed,#REF!
"confirm(name[Take My Breath Away], record_label[Geffen Records], performer[Berlin])"," Are you talking about Berlin's ""Take My Breath Away"" released by Geffen Records?",13,,confirm,#REF!,3,1,popular,0.8841593,,#REF!,0.01120765875,89.22470093,18.20705281,match_scores,Take My Breath Away,#REF!
"confirm(name[Kings of the Wild Frontier], publication_year[1980], from_album[Kings of the Wild Frontier])",Are you referring to the song Kings of the Wild Frontier from the album of the same name released in 1980?,21,,confirm,#REF!,3,1,not so popular,0.6955089,,#REF!,0.01752968546,57.04608917,4.108053662,match_scores,Kings of the Wild Frontier,#REF!
"confirm(name[Waka Waka], genres[pop rock], instance_of[single])",Are you referring to the pop rock single Waka Waka?,10,,confirm,#REF!,3,1,popular,0.94317687,,#REF!,0.006961014242,143.6572266,7.495553473,match_scores,Waka Waka,#REF!
"confirm(name[I Was Gonna Cancel], publication_year[2014], is_from_album[True])"," Are you referring to I Was Gonna Cancel, which was released in 2014 and is from an album?",18,,confirm,#REF!,3,1,not so popular,0.58467823,,#REF!,0.01217305667,82.14863586,12.67371854,match_scores_PPL,I Was Gonna Cancel,#REF!
"confirm(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])",Is Dragostea Din Tei the Eurodance song from an album?,10,,confirm,#REF!,3,1,popular,0.8316008,,#REF!,0.001148350497,870.81427,14.99110695,match_scores,Dragostea Din Tei,#REF!
"confirm(name[Somebody That I Used to Know], genres[indie pop], publication_year[2011])",Are you referring to the 2011 indie pop single Somebody That I Used to Know?,15,,confirm,#REF!,3,1,popular,0.8845788,,#REF!,0.01084416126,92.21552277,16.94357182,match_scores,Somebody That I Used to Know,#REF!
"confirm(name[Macarena], performer[Los del Río], from_album[A mí me gusta])",Are you referring to Los del Río's Macarena from the album A mí me gusta?,15,,confirm,#REF!,3,1,popular,0.8796968,,#REF!,0.007201668023,138.85672,3.218582627,match_scores_PPL,Macarena,#REF!
