mr,da,text,word counts,,pred,,num_triples,num_hops,popularity,scores,dacc,LM_prob,PPL,pseudo_bleu,criteria,song_name,
"confirm(name[Seven Nation Army], genres[garage rock])",confirm,Are you talking about the garage rock song Seven Nation Army?,11,,confirm,1,2,1,popular,0.87725395,1,0.005199804,192.3149414,12.60596809,match_scores,Seven Nation Army,1
"confirm(name[For a Friend], publication_year[1988])",confirm,Are you referring to the song For a Friend from 1988?,11,,confirm,1,2,1,not so popular,0.7920829,1,0.005593796,178.7694702,4.456882761,match_scores,For a Friend,1
"confirm(name[Stairway to Heaven], is_from_album[True])",confirm,Are you referring to Stairway to Heaven from an album?,10,,confirm,1,2,1,popular,0.58556795,1,0.015727018,63.5848465,4.456882761,match_scores,Stairway to Heaven,1
"confirm(name[Waka Waka], record_label[Epic Records])",confirm,Are you referring to Waka Waka by Epic Records?,9,,confirm,1,2,1,popular,0.9404738,1,0.004348439,229.9675598,11.86840522,match_scores,Waka Waka,1
"confirm(name[Old Town Road], from_album[7])",confirm,Are you talking about the song Old Town Road from the album 7?,13,,confirm,1,2,1,popular,0.69996476,1,0.005302174,188.6018829,11.35935489,match_scores_PPL,Old Town Road,1
"confirm(name[Mr. Brightside], producer[The Killers])",confirm,Are you referring to Mr. Brightside by The Killers?,9,,confirm,1,2,1,popular,0.83877087,1,0.007439112,134.4246521,17.54219848,match_scores_PPL,Mr. Brightside,1
"confirm(name[Careless Whisper], from_album[Make It Big])",confirm,Are you referring to Careless Whisper from the album Make It Big?,12,,confirm,1,2,1,popular,0.72139156,1,0.005065721,197.4052582,14.45892467,match_scores,Careless Whisper,1
"confirm(name[Anti-Hero], genres[synth-pop])",confirm,Are you referring to the synth-pop song Anti-Hero?,8,,confirm,1,2,1,popular,0.8419917,1,0.008414975,118.835762,4.76770702,match_scores_PPL,Anti-Hero,1
"confirm(name[Poison], producer[RedOne])",confirm,Are you talking about the song Poison produced by RedOne?,10,,confirm,1,2,1,not so popular,0.7154263,1,0.002460565,406.4107361,3.747776737,match_scores,Poison,1
"confirm(name[All or Nothing], performer[Milli Vanilli])",confirm,Are you referring to Milli Vanilli's song All or Nothing?,10,,confirm,1,2,1,not so popular,0.86017686,1,0.011564419,86.47213745,4.932351569,match_scores,All or Nothing,1
"confirm(name[Old Town Road], instance_of[single])",confirm," Are you referring to the single, Old Town Road?",9,,confirm,1,2,1,popular,0.81521505,1,0.004451575,224.6396027,13.95079697,match_scores,Old Town Road,1
"confirm(name[So Good], producer[Ryan Tedder])",confirm,Are you talking about the song So Good produced by Ryan Tedder?,12,,confirm,1,2,1,not so popular,0.80190283,1,0.005505602,181.633194,8.737167852,match_scores,So Good,1
"confirm(name[Blinding Lights], instance_of[single])",confirm,Are you referring to the single Blinding Lights?,8,,confirm,1,2,1,popular,0.8370017,1,0.003896628,256.6321411,9.535414041,match_scores,Blinding Lights,1
"confirm(name[Littlest Things], producer[Mark Ronson])",confirm,Are you referring to Littlest Things produced by Mark Ronson?,10,,confirm,1,2,1,not so popular,0.8639926,1,0.010706974,93.39707184,10.60031338,match_scores,Littlest Things,1
"confirm(name[Style], genres[pop rock])",confirm,Are you referring to the pop rock song Style?,9,,confirm,1,2,1,popular,0.73972434,1,0.003253137,307.3956299,4.196114906,match_scores_PPL,Style,1
"confirm(name[Dragostea Din Tei], instance_of[musical work/composition])",confirm,Are you referring to the musical work/composition Dragostea Din Tei?,10,,confirm,1,2,1,popular,0.94602394,1,0.001792264,557.9533691,12.35622127,match_scores_PPL,Dragostea Din Tei,1
"confirm(name[Evolution], record_label[Virgin Records])",confirm,Are you referring to the song Evolution by Virgin Records?,10,,confirm,1,2,1,not so popular,0.803321,1,0.004479148,223.2567444,8.295193507,match_scores_PPL,Evolution,1
"confirm(name[Seven Nation Army], instance_of[single])",confirm," Are you talking about the single ""Seven Nation Army""?",9,,confirm,1,2,1,popular,0.78851163,1,0.009327106,107.2143936,12.60596809,match_scores,Seven Nation Army,1
"confirm(name[Stargazing], record_label[Sony Music])",confirm,Are you referring to the song Stargazing from Sony Music?,10,,confirm,1,2,1,not so popular,0.8801627,1,0.006030098,165.8347778,8.295193507,match_scores_PPL,Stargazing,1
"confirm(name[Evolution], instance_of[single])",confirm," Are you referring to the single ""Evolution""?",7,,confirm,1,2,1,not so popular,0.5935884,1,0.006822965,146.5638428,4.196114906,match_scores_PPL,Evolution,1
"confirm(name[Pumped Up Kicks], genres[pop rock])",confirm,Are you referring to the pop rock song Pumped Up Kicks?,11,,confirm,1,2,1,popular,0.8142398,1,0.008804998,113.5718536,12.60596809,match_scores_PPL,Pumped Up Kicks,1
"confirm(name[Stereotypes], record_label[Food Records])",confirm,Are you talking about the song Stereotypes by Food Records?,10,,confirm,1,2,1,not so popular,0.8317789,1,0.00462285,216.3167572,8.295193507,match_scores,Stereotypes,1
"confirm(name[All or Nothing], is_from_album[True])",confirm,Are you talking about the song All or Nothing which is from an album?,14,,confirm,1,2,1,not so popular,0.41909367,1,0.011277972,88.66842651,3.125190764,match_scores,All or Nothing,1
"confirm(name[We Are the World], performer[USA for Africa])",confirm,Are you referring to We Are the World by USA for Africa?,12,,confirm,1,2,1,popular,0.88215744,1,0.004107312,243.4682465,7.347053126,match_scores,We Are the World,1
"confirm(name[Y.M.C.A.], producer[Jacques Morali])",confirm,Are you referring to Y.M.C.A. by Jacques Morali?,8,,confirm,1,2,1,popular,0.91901374,1,0.010234238,97.71122742,48.41524713,match_scores,Y.M.C.A.,1
"confirm(name[Careless Whisper], instance_of[musical work/composition])",confirm,Are you referring to the musical work/composition Careless Whisper?,9,,confirm,1,2,1,popular,0.907654,1,0.00399734,250.1663818,7.495553473,match_scores,Careless Whisper,1
"confirm(name[Cold Heart], producer[Pnau])",confirm,Are you referring to the song Cold Heart by Pnau?,10,,confirm,1,2,1,popular,0.8308526,1,0.0041142,243.0606384,8.295193507,match_scores,Cold Heart,1
"confirm(name[Pumped Up Kicks], is_from_album[True])",confirm,Are you talking about the song Pumped Up Kicks from an album?,12,,confirm,1,2,1,popular,0.49713647,1,0.011907915,83.97776031,11.49875956,match_scores,Pumped Up Kicks,1
"confirm(name[Viva la Vida], instance_of[single])",confirm,Are you referring to the single entitled Viva la Vida?,10,,confirm,1,2,1,popular,0.8757465,1,0.008472325,118.0313568,4.456882761,match_scores,Viva la Vida,1
"confirm(name[Stargazing], from_album[Stargazing])",confirm," Are you referring to the song ""Stargazing"" from the album ""Stargazing""?",11,,confirm,1,2,1,not so popular,0.7644712,1,0.037903593,26.38272285,2.908317711,match_scores,Stargazing,1
"confirm(name[Sweet Home Alabama], is_from_album[True])",confirm,Are you referring to the song Sweet Home Alabama from an album?,12,,confirm,1,2,1,popular,0.6585539,1,0.010536511,94.90808105,11.49875956,match_scores_PPL,Sweet Home Alabama,1
"confirm(name[The Way I Are], genres[pop music])",confirm," Are you referring to The Way I Are, the pop music song?",12,,confirm,1,2,1,not so popular,0.78381056,1,0.006930326,144.2933655,17.77835118,match_scores_PPL,The Way I Are,1
"confirm(name[As It Was], performer[Harry Styles])",confirm," Are you referring to ""As It Was"" by Harry Styles?",10,,confirm,1,2,1,popular,0.76429296,1,0.009528962,104.9432297,14.45892467,match_scores,As It Was,1
"confirm(name[Wanna Get to Know You], instance_of[audio track])",confirm," Are you referring to the audio track ""Wanna Get to Know You""?",12,,confirm,1,2,1,not so popular,0.7789961,1,0.016069432,62.22995377,7.432998185,match_scores,Wanna Get to Know You,1
"confirm(name[Mad Love], record_label[Polydor Records])",confirm,Are you referring to the song Mad Love by Polydor Records?,11,,confirm,1,2,1,not so popular,0.83835256,1,0.006614732,151.1777039,9.578464409,match_scores_PPL,Mad Love,1
"confirm(name[Get Up!], record_label[Roadrunner Records])",confirm,Are you referring to Get Up! by Roadrunner Records?,9,,confirm,1,2,1,not so popular,0.83465374,1,0.004175935,239.4673004,17.54219848,match_scores_PPL,Get Up!,1
"confirm(name[In My Bed], from_album[Frank])",confirm,Are you referring to the song In My Bed from Frank album?,12,,confirm,1,2,1,not so popular,0.6234458,1,0.00339886,294.2163086,12.35622127,match_scores,In My Bed,1
"confirm(name[King of Sorrow], publication_year[2001])",confirm,Are you referring to the King of Sorrow song from 2001?,11,,confirm,1,2,1,not so popular,0.8097225,1,0.008862314,112.8373489,4.456882761,match_scores,King of Sorrow,1
"confirm(name[Littlest Things], instance_of[single])",confirm," Are you referring to the single ""Littlest Things""?",8,,confirm,1,2,1,not so popular,0.6938113,1,0.008141242,122.8313751,7.495553473,match_scores_PPL,Littlest Things,1
"confirm(name[Blurred Lines], performer[Pharrell Williams, T.I.])",confirm,Are you referring to the song Blurred Lines by Pharrell Williams and T.I.?,13,,confirm,1,2,1,popular,0.8607037,1,0.032611641,30.66389656,19.34529902,match_scores_PPL,Blurred Lines,1
"confirm(name[Every Breath You Take], from_album[Synchronicity])",confirm,Are you referring to Every Breath You Take from the Synchronicity album?,12,,confirm,1,2,1,popular,0.789528,1,0.015474608,64.62199402,20.44800736,match_scores,Every Breath You Take,1
"confirm(name[Poison], genres[dance-pop])",confirm," Are you talking about the dance-pop song, Poison?",8,,confirm,1,2,1,not so popular,0.7640262,1,0.005679553,176.0701904,4.196114906,match_scores,Poison,1
"confirm(name[Money for Nothing], is_from_album[True])",confirm,Are you referring to the song Money for Nothing from an album?,12,,confirm,1,2,1,popular,0.40225208,1,0.008386678,119.2367249,3.673526563,match_scores_PPL,Money for Nothing,1
"confirm(name[Marilyn Monroe], from_album[Girl])",confirm,Are you referring to Marilyn Monroe from the album Girl?,10,,confirm,1,2,1,not so popular,0.78132397,1,0.005476264,182.6062469,8.295193507,match_scores,Marilyn Monroe,1
"confirm(name[Space Oddity], instance_of[single])",confirm,Are you referring to the Space Oddity single?,8,,confirm,1,2,1,popular,0.7822701,1,0.007385997,135.3913269,9.535414041,match_scores_PPL,Space Oddity,1
"confirm(name[Stairway to Heaven], producer[Jimmy Page])",confirm,Are you referring to Jimmy Page's Stairway to Heaven song?,10,,confirm,1,2,1,popular,0.8390676,1,0.014849652,67.34164429,4.932351569,match_scores,Stairway to Heaven,1
"confirm(name[Evolution], producer[Atticus Ross])",confirm,Are you referring to the song Evolution produced by Atticus Ross?,11,,confirm,1,2,1,not so popular,0.83239245,1,0.007001991,142.8165131,7.495553473,match_scores_PPL,Evolution,1
"confirm(name[Somebody That I Used to Know], genres[indie pop])",confirm,Are you talking about the indie pop song Somebody That I Used to Know?,14,,confirm,1,2,1,popular,0.7900388,1,0.014405122,69.41975403,17.39579738,match_scores,Somebody That I Used to Know,1
"confirm(name[Blurred Lines], is_from_album[True])",confirm,Are you referring to Blurred Lines which is from an album?,11,,confirm,1,2,1,popular,0.45405078,1,0.008296234,120.5366211,6.772997137,match_scores,Blurred Lines,1
"confirm(name[Black Barbies], is_from_album[False])",confirm,Are you talking about the song Black Barbies?,8,,confirm,1,2,1,not so popular,0.70092714,1,0.005309161,188.3536682,9.535414041,match_scores,Black Barbies,1
"confirm(name[Anti-Hero], from_album[Midnights])",confirm,Are you referring to the song Anti-Hero from Midnights?,9,,confirm,1,2,1,popular,0.7977504,1,0.007677681,130.2476654,4.990049702,match_scores,Anti-Hero,1
"confirm(name[Money for Nothing], performer[Dire Straits])",confirm," Are you referring to the Dire Straits song, Money for Nothing?",11,,confirm,1,2,1,popular,0.7703595,1,0.008648932,115.6212158,7.347053126,match_scores,Money for Nothing,1
"confirm(name[Habibi], performer[Faydee, Shaggy])",confirm," Are you referring to Habibi, the song by Faydee and Shaggy?",11,,confirm,1,2,1,not so popular,0.8793787,1,0.00704196,142.0059204,4.368583926,match_scores,Habibi,1
"confirm(name[Money for Nothing], producer[Mark Knopfler])",confirm,Are you referring to the song Money for Nothing by Mark Knopfler?,12,,confirm,1,2,1,popular,0.8745643,1,0.017852225,56.01542664,7.347053126,match_scores,Money for Nothing,1
"confirm(name[Wild], producer[Alex Hope])",confirm," Are you talking about Wild, the song produced by Alex Hope?",11,,confirm,1,2,1,not so popular,0.7437927,1,0.004444664,224.9888611,6.837203339,match_scores_PPL,Wild,1
"confirm(name[Y.M.C.A.], record_label[Casablanca Records])",confirm,Are you referring to Y.M.C.A. by Casablanca Records?,8,,confirm,1,2,1,popular,0.91627616,1,0.023800481,42.01595688,48.41524713,match_scores_PPL,Y.M.C.A.,1
"confirm(name[Right Here, Right Now], genres[electro])",confirm," Are you referring to Right Here, Right Now, the electro song?",11,,confirm,1,2,1,not so popular,0.7563741,1,0.005179154,193.0817261,26.58483577,match_scores,"Right Here, Right Now",1
"confirm(name[Que Calor], is_from_album[True])",confirm,Are you referring to the song Que Calor from an album?,11,,confirm,1,2,1,not so popular,0.61055577,1,0.002676556,373.6144714,6.772997137,match_scores_PPL,Que Calor,1
"confirm(name[Afterlife], is_from_album[True])",confirm,Are you referring to the song Afterlife from an album?,10,,confirm,1,2,1,not so popular,0.47160712,1,0.006943434,144.0209503,3.747776737,match_scores,Afterlife,1
"confirm(name[In My Bed], is_from_album[True])",confirm," Are you referring to In My Bed, the song from an album?",12,,confirm,1,2,1,not so popular,0.37731057,1,0.007904798,126.5054398,10.57107086,match_scores,In My Bed,1
"confirm(name[Over It], instance_of[single])",confirm," Are you referring to the single song, Over It?",9,,confirm,1,2,1,not so popular,0.5167134,1,0.005642356,177.2309265,7.495553473,match_scores,Over It,1
"confirm(name[We Are the World], instance_of[single])",confirm," Are you referring to the single, We Are the World?",10,,confirm,1,2,1,popular,0.76054794,1,0.009479518,105.490593,7.495553473,match_scores,We Are the World,1
"confirm(name[Littlest Things], performer[Lily Allen])",confirm,Are you referring to “Littlest Things�?by Lily Allen?,9,,confirm,1,2,1,not so popular,0.84042186,1,0.003567809,280.2840881,8.392229813,match_scores,Littlest Things,1
"confirm(name[Anti-Hero], record_label[Republic Records])",confirm," Are you referring to Anti-Hero, the song from Republic Records?",10,,confirm,1,2,1,popular,0.82737833,1,0.007185512,139.1689301,7.495553473,match_scores,Anti-Hero,1
"confirm(name[Seven Nation Army], publication_year[2003])",confirm,Are you referring to the song Seven Nation Army released in 2003?,12,,confirm,1,2,1,popular,0.82750416,1,0.007863399,127.171463,12.35622127,match_scores_PPL,Seven Nation Army,1
"confirm(name[King of Sorrow], producer[Sade Adu])",confirm,Are you referring to Sade Adu's song King of Sorrow?,10,,confirm,1,2,1,not so popular,0.85245734,1,0.005512154,181.4172974,4.932351569,match_scores,King of Sorrow,1
"confirm(name[Anti-Hero], instance_of[musical work/composition])",confirm,Are you referring to the musical work/composition Anti-Hero?,8,,confirm,1,2,1,popular,0.90527445,1,0.004912563,203.5597229,4.456882761,match_scores,Anti-Hero,1
"confirm(name[Viva la Vida], is_from_album[True], publication_year[2008])",confirm," Are you referring to the 2008 song, Viva La Vida, from an album?",13,,confirm,1,3,1,popular,0.76043266,1,0.018300318,54.64385986,9.782375749,match_scores,Viva la Vida,1
"confirm(name[Stargazing], is_from_album[True], record_label[Ultra Music])",confirm," Are you referring to Stargazing, from the album on Ultra Music?",11,,confirm,1,3,1,not so popular,0.74331397,1,0.004533871,220.562088,6.837203339,match_scores,Stargazing,1
"confirm(name[Apple Shampoo], record_label[MCA Records], performer[Blink-182])",confirm,Are you referring to Blink-182's Apple Shampoo on MCA Records?,10,,confirm,1,3,1,not so popular,0.9300966,1,0.006047482,165.358078,8.295193507,match_scores,Apple Shampoo,1
"confirm(name[In My Bed], genres[soul music], from_album[Frank])",confirm," Are you referring to In My Bed, the soul music from Frank album?",13,,confirm,1,3,1,not so popular,0.7847455,1,0.002790167,358.4014893,10.51184684,match_scores,In My Bed,1
"confirm(name[Style], from_album[1989], record_label[Big Machine Records])",confirm,Are you referring to the song 'Style' released by Big Machine Records in 1989?,14,,confirm,1,3,1,popular,0.77366793,1,0.017012145,58.7815361,10.51184684,match_scores,Style,1
"confirm(name[Hold My Hand], is_from_album[False], instance_of[single])",confirm," Are you referring to the single, Hold My Hand?",9,,confirm,1,3,1,popular,0.57414967,1,0.004891764,204.4252472,13.95079697,match_scores,Hold My Hand,1
"confirm(name[Anti-Hero], genres[synth-pop], record_label[Republic Records])",confirm,Are you talking about the synth-pop song Anti-Hero released by Republic Records?,12,,confirm,1,3,1,popular,0.8688937,1,0.007212431,138.6495056,6.837203339,match_scores,Anti-Hero,1
"confirm(name[Apple Shampoo], from_album[Dude Ranch], producer[Mark Trombino])",confirm," Are you referring to Apple Shampoo, the song from Dude Ranch produced by Mark Trombino?",15,,confirm,1,3,1,not so popular,0.8727666,1,0.004669804,214.1417389,7.922250669,match_scores,Apple Shampoo,1
"confirm(name[In My Bed], performer[Amy Winehouse], from_album[Frank])",confirm,Are you referring to the song In My Bed by Amy Winehouse from the album Frank?,16,,confirm,1,3,1,not so popular,0.7807898,1,0.010468971,95.52037048,11.20375434,match_scores,In My Bed,1
"confirm(name[Take My Breath Away], record_label[Geffen Records], performer[Berlin])",confirm," Are you talking about Berlin's ""Take My Breath Away"" released by Geffen Records?",13,,confirm,1,3,1,popular,0.8841593,1,0.011207659,89.22470093,18.20705281,match_scores,Take My Breath Away,1
"confirm(name[Kings of the Wild Frontier], publication_year[1980], from_album[Kings of the Wild Frontier])",confirm,Are you referring to the song Kings of the Wild Frontier from the album of the same name released in 1980?,21,,confirm,1,3,1,not so popular,0.6955089,1,0.017529685,57.04608917,4.108053662,match_scores,Kings of the Wild Frontier,1
"confirm(name[Waka Waka], genres[pop rock], instance_of[single])",confirm,Are you referring to the pop rock single Waka Waka?,10,,confirm,1,3,1,popular,0.94317687,1,0.006961014,143.6572266,7.495553473,match_scores,Waka Waka,1
"confirm(name[I Was Gonna Cancel], publication_year[2014], is_from_album[True])",confirm," Are you referring to I Was Gonna Cancel, which was released in 2014 and is from an album?",18,,confirm,1,3,1,not so popular,0.58467823,1,0.012173057,82.14863586,12.67371854,match_scores_PPL,I Was Gonna Cancel,1
"confirm(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])",confirm,Is Dragostea Din Tei the Eurodance song from an album?,10,,confirm,1,3,1,popular,0.8316008,1,0.00114835,870.81427,14.99110695,match_scores,Dragostea Din Tei,1
"confirm(name[Somebody That I Used to Know], genres[indie pop], publication_year[2011])",confirm,Are you referring to the 2011 indie pop single Somebody That I Used to Know?,15,,confirm,1,3,1,popular,0.8845788,1,0.010844161,92.21552277,16.94357182,match_scores,Somebody That I Used to Know,1
"confirm(name[Macarena], performer[Los del Río], from_album[A mí me gusta])",confirm,Are you referring to Los del Río's Macarena from the album A mí me gusta?,15,,confirm,1,3,1,popular,0.8796968,1,0.007201668,138.85672,3.218582627,match_scores_PPL,Macarena,1
"confirm(name[Kings of the Wild Frontier], publication_year[1980], producer[Chris Hughes])",confirm," Are you referring to Kings of the Wild Frontier, the 1980 song produced by Chris Hughes?",16,,confirm,1,3,1,not so popular,0.8872467,1,0.005610085,178.250412,6.722636788,match_scores_PPL,Kings of the Wild Frontier,1
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone], is_from_album[True])",confirm,Is Dragostea Din Tei from the album DiscO-Zone?,8,,confirm,1,3,1,popular,0.8678683,1,0.000455529,2195.249023,17.74740528,match_scores_PPL,Dragostea Din Tei,1
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone], genres[Eurodance])",confirm,Are you referring to the Eurodance song Dragostea Din Tei from the album DiscO-Zone?,14,,confirm,1,3,1,popular,0.8820856,1,0.002635779,379.3945313,10.51184684,match_scores_PPL,Dragostea Din Tei,1
"confirm(name[Wild], publication_year[2015], producer[Alex Hope])",confirm," Are you referring to Wild from 2015, produced by Alex Hope?",11,,confirm,1,3,1,not so popular,0.8182668,1,0.002827587,353.6583862,7.347053126,match_scores,Wild,1
"confirm(name[I Was Gonna Cancel], publication_year[2014], producer[Pharrell Williams])",confirm,Are you referring to the song I Was Gonna Cancel produced by Pharrell Williams in 2014?,16,,confirm,1,3,1,not so popular,0.85046613,1,0.009814118,101.8940277,17.69497515,match_scores,I Was Gonna Cancel,1
"confirm(name[Style], performer[Taylor Swift], record_label[Big Machine Records])",confirm," Is the song Style by Taylor Swift, released by Big Machine Records?",12,,confirm,1,3,1,popular,0.84293383,1,0.008155385,122.6183624,13.91231164,match_scores,Style,1
